	SRR23389262_bracken_species	SRR23389263_bracken_species	SRR23389264_bracken_species	SRR23389265_bracken_species	SRR23389266_bracken_species	SRR23389267_bracken_species	SRR23389268_bracken_species	SRR23389269_bracken_species	SRR23389270_bracken_species	SRR23389272_bracken_species
418240	47925	46315	10921	49538	17244	22802	21643	18641	57280	12737
2479767	4243	5447	852	15446	2769	17530	517	3095	11961	592
2877527	240	265	88	267	237	239	27	61	776	602
40520	4163	7942	4029	17652	3343	3846	663	6924	14969	1587
1796616	387	442	184	392	389	297	36	129	799	137
33035	362	498	160	507	537	394	22	157	731	459
1912897	309	422	182	321	269	321	34	111	811	1019
1322	303	654	170	411	540	354	16	97	650	980
2779518	224	263	64	90	144	169	10	50	263	64
39485	27936	12316	18144	152	8505	29389	16	656	2354	124
2763672	27495	15718	2111	6995	1457	14220	40	992	8047	319
166486	13252	4599	23161	4551	4638	4463	184	1931	22117	1220
301301	1840	2668	1063	1109	1679	3905	219	734	4278	464
2763062	1454	1039	1211	545	853	1069	43	446	4386	362
39488	11771	5795	4159	8482	5968	6723	147	4065	12635	436
410072	8101	6268	2044	4300	7497	830	468	3704	4681	1206
116085	1097	2209	1621	4238	802	950	122	1003	6755	599
33043	684	493	128	225	208	343	61	83	684	137
751585	270	453	172	658	203	248	10	141	696	59
649756	8415	17360	5637	39725	1751	28197	138	3232	28332	3320
105841	77	108	36	104	75	109	6	31	162	80
1229621	55	80	28	58	51	78	2	32	154	64
33038	5642	1940	1867	2651	2054	3806	291	1385	4744	36425
33039	1105	18004	10880	2210	646	1237	169	4440	18917	58119
46228	618	972	287	696	466	4520	50	3112	20562	963
88431	2383	11596	8269	12200	1324	1599	434	7373	20680	1973
39486	1698	3614	3245	3376	592	3319	109	1184	4015	733
29347	1017	954	691	1128	1998	708	98	267	2475	1633
89153	226	276	77	270	140	173	12	37	273	268
1871021	224	179	71	167	127	156	30	67	350	135
66219	58	52	16	42	48	41	4	26	142	31
208479	776	473	315	1082	1654	642	91	322	603	878
333367	395	249	149	667	333	187	39	162	518	275
1531	233	412	165	319	221	320	43	116	416	459
45851	499	761	144	237	500	385	4	151	884	107
831	159	235	42	99	89	166	19	44	380	51
43305	113	190	62	62	69	102	2	37	299	25
185008	105	212	50	60	69	78	14	38	308	28
2763670	518	578	153	186	277	5548	18	747	675	144
84030	258	402	193	311	108	356	51	61	448	110
29375	131	117	47	61	93	118	16	62	202	120
29370	123	105	38	75	84	119	10	52	155	125
168384	320	370	103	287	247	260	78	108	566	134
1653434	308	177	311	179	2103	626	24	179	328	361
2696063	80	91	32	53	49	56	10	26	121	75
1727145	73	59	25	49	37	54	3	24	129	48
