	SRR23389262_bracken_species	SRR23389263_bracken_species	SRR23389264_bracken_species	SRR23389265_bracken_species	SRR23389266_bracken_species	SRR23389267_bracken_species	SRR23389268_bracken_species	SRR23389269_bracken_species	SRR23389270_bracken_species	SRR23389272_bracken_species
433286	75	98	37	41	61	52	2	29	118	51
3039116	62	94	31	62	48	77	5	11	148	43
2068655	288	401	62	140	139	168	16	42	403	61
185007	199	510	135	70	166	199	3	95	624	56
2490855	105	118	37	76	82	81	12	43	248	87
617123	70	111	35	51	43	35	3	33	145	23
2763667	158	295	127	308	264	180	9	113	620	76
2763669	80	173	46	198	67	152	16	30	187	82
2709410	80	91	26	52	31	57	4	27	125	16
1679721	39	29	3	27	38	42	5	14	81	19
2929492	10100	1761	1801	3138	17439	430	305	704	2232	29
2929494	8427	1648	2070	2904	4700	493	351	786	2114	27
2929488	4504	772	1369	1597	1728	417	185	308	860	99
2929489	2190	1020	579	855	914	636	181	218	1519	78
2929491	1082	1072	2683	1909	1169	1220	200	700	1963	22
2929493	935	6102	704	819	702	394	148	269	1092	38
2929495	1066	1062	9137	7059	2752	4367	627	1692	3466	39
2929490	631	686	680	623	446	306	107	127	1147	6
853	19247	22740	41798	32852	29335	22808	10787	12212	46093	593
411483	1088	1145	536	587	729	314	145	156	1836	97
1160721	16973	93	97	250	72	118	3	383	4058	24
2564099	909	40	42	519	82	110	45	52	324	6
1161942	474	53	99	77	84	105	4	74	180	9
438033	92	203	35	182	108	114	6	37	307	59
2714355	909	913	134	3181	89	513	26	343	2593	26
2714353	529	322	279	721	49	182	11	77	1191	10
292800	918	557	730	2464	3824	625	94	330	889	502
1550024	763	391	356	1979	318	211	33	71	547	62
169435	568	156	146	1669	137	231	42	97	862	97
2093857	357	462	1071	4282	292	433	20	168	2417	118
2108523	318	592	64	1364	206	234	8	70	1024	65
2714358	265	390	234	764	113	165	22	102	529	72
214851	215	1811	1159	1667	71	135	17	436	1297	52
2763056	154	216	137	368	83	79	14	64	759	13
2766537	60	15	17	38	23	31	2	16	77	8
2994078	56	28	12	47	19	22	3	14	39	7
2666138	37	25	14	29	11	19	2	24	73	3
1981510	126	50	44	60	21	167	3	65	637	6
1796620	93	52	14	81	16	30	12	18	96	8
2780922	73	63	72	111	38	44	3	28	125	13
2488810	27	7	5	16	9	15	2	4	33	7
1521	10	3	7	18	5	3	4	3	54	24
2507162	43	32	5	33	10	12	3	11	47	7
2576756	42	27	7	31	9	21	2	15	68	10
253239	24	22	18	41	42	21	2	21	52	4
411486	929	665	354	1137	555	615	185	235	813	279
1042156	115	163	62	90	90	123	6	50	312	23
97138	37	19	12	19	17	14	4	15	43	14
2507159	12	6	3	5	3	11	3	17	15	10
1502	120	116	256	78	51	1429	14	87	171	95
1491	56	38	29	57	51	77	15	93	86	68
238834	20	31	8	13	17	33	4	11	48	29
1501	16	27	6	14	18	15	3	29	58	24
704125	14	10	14	3	6	26	2	20	27	6
1493	14	9	5	10	8	6	2	8	23	19
1534	8	10	3	9	5	11	3	4	43	8
154046	523	572	282	1609	383	686	77	337	570	358
384636	150	137	53	72	67	129	28	37	271	122
461876	8	11	7	2	6	5	17	12	11	2
3036945	20	13	5	23	15	11	2	5	27	9
2576307	10	4	6	5	4	2	2	3	21	27
1496	1463	1939	771	1359	717	788	149	398	1909	594
89152	18	13	9	15	15	25	3	9	47	48
1505	5	6	5	4	6	12	2	10	17	27
39496	461	1489	529	464	3700	229	16	137	1440	185
2841037	140	146	43	135	98	115	7	36	207	150
2841528	120	205	56	117	84	506	6	90	300	37
2764325	257	89	92	159	105	67	22	53	556	111
1736	69	58	22	43	12	15	3	13	111	61
2041044	36	18	18	80	27	21	2	13	124	7
1297617	246	207	66	869	92	160	14	93	421	21
2086584	242	171	64	333	153	137	9	73	297	168
2610895	232	177	54	366	272	138	14	63	234	62
1776384	66	33	24	132	14	28	2	12	52	27
114527	22	30	43	22	15	6	45	18	64	122
626937	96	106	17	31	27	79	5	16	81	26
1185412	21	15	22	12	8	14	3	6	30	8
2478954	10438	29	23	49	29	10298	5	13	50	25
100886	6931	64	65	54	25	5926	15	23	129	13
1522	473	230	197	594	259	284	29	297	561	171
1547	396	77	57	205	81	240	23	62	312	423
29348	16	15	4	8	23	13	2	3	97	28
2583452	157	61	41	75	52	239	3	27	73	133
1796635	113	178	94	156	63	453	16	59	273	115
1982626	98	5126	1301	1397	1472	91	12	302	2200	30
39483	91	197	53	681	111	178	25	48	210	42
2944914	28	3	4	17	14	10	4	2	19	49
2487118	11	23	7	12	23	37	15	30	36	10
437897	3980	24	5997	6232	15	13	2	15	14357	114988
971	19	3	5	9	9	34	2	5	22	3
69823	9	28	8	45	3	30	5	7	26	5
626940	1782	826	5	15	13	25	2	12	2016	34
33025	14	73	1219	3154	3038	24	613	8843	44	701
187327	12	20	61	9	7	20	154	2376	18	10
2144175	20	11	11	15	15	29	6	7	302	7
907	14	13	17	13	17	38	3	4	17	9
423477	14	6	255	14	36	249	209	52	18	327
29466	9	10	189	17	19	89	35	40	19	305
2682456	12	4	327	2	40	386	128	13	35	264
2682455	2	4	284	4	29	281	78	3	13	180
39778	2	6	240	4	33	284	52	4	14	168
1742359	99	89	100	95	99	95	91	89	101	104
220684	5	9	8	2	6	4	2	2	10	5
2912824	5	2	4	5	3	5	2	3	5	2
2908839	8	7	2	4	5	8	3	3	8	2
3050112	4	6	3	5	5	6	3	20	13	5
1451	100	109	94	98	109	114	59	74	115	91
521520	13	10	20	10	15	27	22	28	13	2
189426	8	17	4	10	7	7	4	16	8	6
54914	145	126	129	132	116	143	123	127	133	119
1393	13	6	9	3	6	5	4	5	13	7
2756	98	88	99	91	89	91	86	96	98	95
1639	14	19	11	13	11	10	8	10	19	3
1623	67	112	4719	34	26	1546	29	17	202	24
1601	2	2	15	11	10	5	2	2	8	15
1598	9	13	9	7	8	5	3	8	3	17
1304	239	1261	4920	385	3183	6293	5367	4056	1217	893
1316408	11	68	157	12	227	886	383	223	131	111
2610896	8	97	191	12	228	977	549	306	146	102
1759399	5	11	19	2	24	72	129	144	33	51
712623	4	8	18	3	9	23	78	31	3	29
1839799	5	32	113	6	110	272	95	149	73	16
712633	2	8	7	2	29	15	62	27	10	63
1307	76	47	32	34	35	127	9	63	130	37
1336	14	5	4	9	5	19	3	9	16	6
1308	42	41	97	24	46	222	87	110	1601	22
1305	22	42	26	9	38	32	156	86	21	237
1328	9	19	92	13	37	15	15	19	47	66
1303	20	22	42	13	47	67	146	140	52	222
1311	60	30	6	19	15	152	7	15	64	97
684066	10	11	26	7	45	124	67	49	15	17
1156431	14	32	18	19	43	117	433	325	30	176
150055	11	11	21	3	6	309	9	14	23	6
1335	9	6	3	13	13	464	2	11	20	4
2382163	11	14	6	12	16	54	245	122	16	54
28037	7	23	15	5	51	47	144	109	39	641
1313	8	20	38	6	45	33	46	22	17	196
1302	4	13	17	5	55	50	36	151	29	54
113107	4	21	24	2	28	134	96	114	38	45
68892	2	3	6	3	13	24	70	27	8	53
1318	2	88	183	22	325	2864	418	311	216	118
1234680	2	11	9	2	8	31	246	82	5	26
1358	21	58	364	19	3	169	8	7	51	17
1352	156	124	104	416	70	114	21	22	443	546
44008	29	16	14	18	41	42	3	3	18	11
46125	24	20	20	24	22	22	22	17	31	29
46124	2	11	6	2	42	19	124	69	31	77
1260	16	14	23	11	17	12	3	3	13	68
1582259	9	2	2	4	4	3	5	3	5	4
2507161	7	5	9	4	8	5	2	21	18	2
1680	2209	20	3245	9	2956	7	244	2025	231	5417
216816	143	29	5056	76	1104	48	38886	1694	6863	1112
1685	80	56	80	61	97	25	516	42	123	65
1686	64	7	317	4	1061	4	643	54	574	238
28026	46	20	3195	6	938	16	12498	261	8870	4604
1689	6	3	40	2	20	5	17	9	43	36
1694	5	9	10	8	11	5	9	5	16	4
61592	6	7	7	3	3	2	2	4	2	33
2036	21	22	18	19	15	21	20	18	19	18
43675	32	30	77	15	94	234	559	264	125	532
1660	34	163	247	219	169	321	536	137	85	911
52773	2	6	12	6	7	10	28	3	2	28
712122	11	9	33	15	7	2	28	18	9	52
544580	14	58	51	6	17	17	11	45	23	261
1852377	6	12	10	12	11	12	22	5	12	68
82135	16	12	5	17	11	10	2	2	13	17
119981	18	17	17	20	17	15	16	17	22	15
74426	2561	14765	9836	7486	14638	12025	14754	12097	6733	3880
147206	8	27	18	15	138	49	143	14	23	335
33871	4	11	17	5	10	4	3	3	10	2
1382	3	15	6	26	14	20	51	7	10	38
1871022	9	53	4	12	20	17	53	44	34	14
712411	3	23	14	9	13	6	13	18	5	24
1805478	2	16	7	14	27	11	28	18	22	13
133926	2	5	3	7	9	8	10	7	14	10
604330	6	20	8	22	25	13	20	32	24	7
2779519	5	11	14	6	15	13	10	12	11	2
712157	3	9	2	3	14	4	8	3	9	6
1335613	59	49	42	82	25	30	6	40	42	13
471189	25	97	35	754	82	110	12	25	42	18
446660	73	112	1233	357	497	23	11	189	312	20
84112	59	641	46	588	116	251	99	597	104	46
502558	9	29	30	22	11	8	12	3	53	9
2690837	3	48	46	91	33	11	12	21	37	14
84110	21	34	41	47	28	14	9	4	20	5
1907662	16	17	16	87	17	31	11	6	81	3
1531429	11	19	25	12	33	15	6	5	27	2
2734634	4	27	2	18	12	2	7	8	22	4
79604	6	19	18	21	10	7	7	2	19	10
1870985	4	51	24	17	16	14	7	19	40	15
328692	15	15	15	16	12	14	16	15	15	17
46506	63693	2776	2756	47510	12092	1709	215	529	11190	94980
28111	16744	495	276	11993	923	113	74	237	3238	3596
820	17102	2688	2471	21791	6690	1548	854	1625	13620	9794
2528203	1517	181	56	1297	533	171	109	56	954	1423
2763022	294	183	857	222	419	204	129	137	138	411
556259	285	349	319	226	726	66	25	291	191	247
2847299	693	1574	991	357	369	732	3370	1737	112	472
371601	5703	4933	3537	2924	2537	3292	5192	7267	1085	3560
818	3693	5622	10171	26482	3580	4760	12652	12262	4481	12030
2650157	2888	1497	2461	2137	848	1513	379	605	2979	3436
817	18852	8430	6213	33012	19092	6443	361	6156	12113	8945
674529	2451	509	539	1412	845	284	583	894	547	1995
28116	3692	2445	3373	4505	10859	538	2977	5733	3178	4247
291644	1669	3770	230	15031	3900	497	104	279	3805	2611
329854	1127	336	220	9321	406	219	105	348	403	1646
47678	1066	10153	3557	10561	1546	1577	362	2879	1519	3396
291645	936	981	859	654	540	624	1293	709	248	1144
246787	701	647	253	19707	769	298	622	665	246	980
290053	490	250	161	303	252	186	80	173	134	784
2715212	484	322	271	268	285	209	175	177	172	935
1796613	373	217	68	903	295	126	62	219	240	509
28113	348	162	131	130	339	66	18	37	75	610
28119	256	191	177	137	176	108	107	228	89	625
151276	95	96	74	64	46	31	174	185	15	118
821	70175	24818	11134	40574	2822	5934	13923	7192	22204	121306
387090	2523	1387	2818	1523	4150	750	3928	3108	860	11550
357276	2548	4255	1171	21895	32257	12449	1517	8593	33253	5201
376805	1134	576	354	553	1280	325	418	343	457	3267
823	11014	9216	1751	20402	6840	2319	2402	2905	5845	13254
46503	3683	1462	1387	736	1572	1001	198	217	618	2476
328812	457	425	163	1225	161	223	145	176	164	474
387661	373	122	67	730	3105	45	41	1560	2047	469
2685834	162	108	60	1427	102	136	235	78	73	372
1217282	126	94	65	164	89	86	341	137	50	250
2691580	335	58	581	14	45	398	130	505	16	39
2913621	317	105	543	22	82	429	34	573	12	147
2937774	305	128	637	20	55	676	220	702	9	94
712471	249	29	285	13	12	274	22	334	8	31
2913616	262	94	535	22	78	602	87	766	10	98
2913620	200	106	624	22	88	515	210	749	18	75
28131	1058	1284	790	66	118	634	3162	3005	41	124
28132	650	708	1951	96	770	2136	2123	3908	41	137
839	443	362	1292	16	213	1104	437	1274	26	179
2913614	370	166	895	21	121	1085	239	987	29	110
77095	358	412	931	40	403	1650	1559	2200	20	78
52227	355	223	793	27	736	812	293	1092	14	48
589436	329	81	599	66	55	436	134	750	42	127
28129	318	243	819	19	293	1031	403	2348	12	118
28133	375	80	368	33	150	299	241	480	11	61
1177574	250	422	1650	26	404	677	1523	2655	17	92
28125	197	544	610	13	395	676	229	1219	14	157
282402	213	27	597	6	23	448	11	599	11	46
28128	159	182	391	82	112	379	214	1706	5	113
2801997	132	130	369	8	150	970	153	797	9	58
470565	137	270	336	6	127	176	143	471	16	34
28137	105	60	260	23	27	469	160	850	11	40
589437	94	57	169	13	60	231	121	618	7	35
454154	2577	1149	2890	7080	7265	790	324	1017	1364	428
454155	793	313	219	1596	1389	176	31	1060	268	358
165179	1192	182742	217590	162	227694	153730	366592	209786	100	207
28127	616	944	716	55	95	570	2325	2338	10	181
76123	148	70	211	20	12	137	109	328	12	62
214856	1370	554	441	3457	2157	424	418	759	590	463
2585118	1045	418	596	1358	45	203	31	134	859	59
328814	767	2052	107	3052	13	384	8	69	629	64
2364787	480	2610	1467	500	102	925	4554	4255	117	82
328813	409	471	666	5683	93	79	21	59	3287	312
626932	172	435	1668	190	218	688	265	6985	59	40
2662363	158	82	32	278	34	40	11	32	76	68
538949	85	221	114	312	41	106	79	57	144	105
2585119	85	202	160	1100	568	35	4	21	251	49
28118	3236	1185	82	1858	652	108	133	578	1645	157
2093856	1025	184	120	1771	369	40	43	1621	220	87
544645	271	936	38	2691	34	129	42	95	594	185
2530390	151	46	131	303	42	75	25	148	24	147
1796646	106	45	44	684	23	18	50	60	10	76
2606626	110	50	376	47	39	151	393	588	26	13
2518971	101	29	84	125	62	54	4	92	14	109
397865	250	75	193	424	263	132	5	86	100	554
1099853	92	16	98	381	23	8	7	125	445	120
837	123	45	117	28	31	56	236	80	25	63
28124	32	2	21	4	10	9	11	31	3	31
712435	26	16	62	10	2	44	5	20	3	10
322095	19	18	22	294	27	56	32	65	7	32
1642646	163	105	17	68	80	21	59	227	23	143
1642647	42	26	29	18	25	9	4	17	12	72
185300	13	18	3	22	16	10	48	5	8	41
889453	5	9	10	9	6	5	18	4	4	25
1717717	6	15	16	9	6	4	15	52	5	13
3003260	19	9	16	17	8	24	15	16	26	29
1017	2	17	15	3	3	24	4	22	6	2
28251	17	8	7	7	8	16	18	6	7	10
34085	17	7	2	9	5	10	3	8	4	38
1653831	9	12	5	5	15	14	11	5	10	7
2910158	51	32	81	31	36	42	36	32	36	39
2745947	5	10	32	3	16	3	32	18	3	16
1211326	2	4	19	3	15	4	43	25	7	4
1795355	13	16	8	8	58	11	15	40	2	11
2859768	7	27	49	5	11	46	51	12	12	35
390884	5	6	50	7	22	13	9	25	3	29
258	26	11	13	11	18	4	2	12	16	19
652787	12	11	6	8	7	8	26	4	4	25
2740462	9	7	8	4	7	19	13	9	2	2
2027860	26	56	19	13	29	36	85	26	16	20
1176721	7	13	10	2	3	11	25	10	4	21
1411316	4	8	9	8	26	37	4	17	5	30
995	7	4	4	2	6	6	20	2	4	3
2703787	11	13	6	5	6	13	19	15	10	9
354356	7	10	12	9	3	35	3	5	2	11
573	746	88	10450	152	61	1159	19407	2649	428	202
1463165	15	8	1217	32	11	70	225	79	23	31
244366	7	6	1851	74	4	19	90	77	18	7
562	121	96	4378	89	13489	11417	3102	1395	834	815
550	15	12	300	19	11	51	19	29	76	194
28901	8	22	90	23	36	176	46	24	71	3
582	8	14	11	5	11	16	4	6	12	12
303	39	60	13	66	11	34	96	24	48	7
294	24	7	19	6	6	10	2	5	28	14
316	5	18	14	21	5	14	4	22	23	8
729	216	70	649	8	79	670	1482	49	310	2426
465797	13	19	34	18	24	18	47	34	40	38
45610	9	6	10	10	9	8	8	14	13	10
83771	8	3	14	6	5338	11	11	18	27	6
2494234	273	409	413	209	16	293	307	8	212	1808
1852381	53	89	69	26	3	55	46	3	44	179
1796652	4	10	13	212	2141	3	4	90	48	10
367825	52	54	50	52	49	50	48	36	59	68
80866	83	84	67	84	57	56	56	43	78	89
34073	19	14	27	17	6	7	9	11	17	28
37448	4	5	4	5	4	4	4	3	4	4
945844	30	36	29	32	29	33	28	27	33	34
2728021	24	26	28	26	25	25	22	24	31	30
29581	27	19	27	23	25	27	25	33	28	45
80842	13	14	9	10	9	10	7	6	16	6
1296669	45	47	46	48	45	42	44	40	46	55
76731	32	33	33	34	28	33	35	26	31	34
215580	21	26	30	23	19	21	19	18	23	33
2041385	61	71	61	80	64	66	59	61	70	68
1325095	15	13	15	20	16	14	14	16	16	29
290	17	18	17	18	19	15	16	17	21	18
151416	12	11	13	15	11	12	13	11	14	17
135719	33	24	33	37	21	40	24	37	33	32
901	699	56	11	86	85	7	4	55	1223	10
239935	101	395	79	32	28	98	31	54	521	23
197	48	269	67	50	152	151	4	110	169	53
