	blacklist
0	89
1	245
2	255
3	285
4	293
5	305
6	329
7	337
8	339
9	343
10	347
11	375
12	384
13	396
14	398
15	410
16	411
17	474
18	562
19	564
20	964
21	983
22	986
23	991
24	996
25	1400
26	1408
27	1425
28	1427
29	1455
30	1456
31	1471
32	1479
33	1481
34	1673
35	1744
36	12917
37	13160
38	13689
39	28030
40	28090
41	28095
42	28097
43	28101
44	28212
45	28213
46	29430
47	29447
48	29448
49	29449
50	29450
51	29533
52	29534
53	29536
54	29545
55	29581
56	31998
57	32013
58	33017
59	33020
60	33022
61	33023
62	33051
63	33937
64	34029
65	34066
66	35807
67	35808
68	36858
69	37448
70	37638
71	37752
72	38072
73	39439
74	39956
75	40214
76	40215
77	40216
78	40681
79	40682
80	40683
81	41174
82	41208
83	41276
84	41899
85	42189
86	42685
87	43992
88	44255
89	46677
90	47229
91	47592
92	47884
93	47886
94	47920
95	47994
96	48503
97	48664
98	50338
99	52131
100	52133
101	53317
102	53407
103	53411
104	53413
105	53414
106	55197
107	55508
108	56361
109	56448
110	56449
111	56450
112	56453
113	56454
114	56455
115	56456
116	56457
117	56458
118	56459
119	56460
120	56463
121	56464
122	56730
123	56731
124	57038
125	57676
126	59803
127	61013
128	64002
129	64702
130	65741
131	68569
132	68895
133	69322
134	69408
135	69670
136	70346
137	70347
138	70348
139	70582
140	70584
141	70586
142	71865
143	74311
144	74312
145	74313
146	74314
147	74315
148	74316
149	74325
150	74326
151	74329
152	75659
153	76848
154	77298
155	77523
156	80842
157	80866
158	80878
159	82541
160	82633
161	83617
162	83621
163	83622
164	83627
165	84586
166	84636
167	86184
168	86186
169	86188
170	86265
171	86663
172	86669
173	89065
174	91382
175	92645
176	93063
177	93064
178	95300
179	96344
180	96345
181	99286
182	99597
183	101332
184	101564
185	104087
186	105219
187	106590
188	106646
189	106648
190	106649
191	106651
192	107400
193	108015
194	108437
195	108527
196	108980
197	108981
198	114404
199	114501
200	114616
201	117506
202	117680
203	117681
204	119219
205	119981
206	121873
207	122355
208	128780
209	129847
210	131080
211	132476
212	132923
213	132929
214	132931
215	134533
216	134534
217	135830
218	136408
219	136996
220	137658
221	147728
222	148618
223	148630
224	150146
225	150172
226	151654
227	151783
228	152269
229	152682
230	157782
231	157783
232	157784
233	158627
234	158891
235	160825
236	161919
237	163011
238	164546
239	170350
240	170540
241	172043
242	172044
243	178355
244	178356
245	179878
246	180195
247	180282
248	180441
249	185949
250	185950
251	185951
252	190148
253	190721
254	191390
255	191391
256	192388
257	195930
258	198618
259	198808
260	201179
261	202950
262	202951
263	202952
264	202954
265	202955
266	202956
267	203540
268	206041
269	208200
270	208962
271	209458
272	209459
273	209460
274	209461
275	209462
276	209463
277	210391
278	211589
279	213312
280	214801
281	216142
282	216379
283	216465
284	216590
285	216778
286	219572
287	219573
288	221992
289	223381
290	225991
291	225992
292	226909
293	226910
294	228925
295	229203
296	229204
297	229205
298	230146
299	230954
300	237435
301	237609
302	237610
303	237611
304	237612
305	240521
306	242163
307	243690
308	243922
309	243924
310	244566
311	244596
312	244734
313	248026
314	249351
315	249352
316	251550
317	254015
318	255045
319	256466
320	257003
321	262320
322	262668
323	265291
324	266127
325	266128
326	269660
327	270350
328	270351
329	271155
330	271156
331	271157
332	272772
333	273032
334	274592
335	279215
336	279970
337	280093
338	280145
339	280146
340	280147
341	280332
342	280333
343	281361
344	281375
345	281376
346	281785
347	284580
348	286638
349	288436
350	289003
351	289370
352	290239
353	290240
354	290241
355	290309
356	293388
357	293958
358	295428
359	296544
360	298708
361	298794
362	298908
363	300193
364	301154
365	302048
366	305582
367	305584
368	305959
369	310348
370	310400
371	312253
372	312277
373	312306
374	314235
375	314236
376	314237
377	314238
378	315478
379	319939
380	320323
381	321661
382	321846
383	322163
384	324767
385	327691
386	328413
387	328552
388	329186
389	329877
390	330920
391	332657
392	333297
393	334852
394	335017
395	335476
396	335605
397	335630
398	336170
399	336566
400	336840
401	340171
402	341045
403	344880
404	344881
405	346179
