Method	taxid	abundance_pct
Metacontam	2202827	0.00616822990206495
Metacontam	2020412	0.0111141201014768
Metacontam	269660	0.0114618785886317
Metacontam	1867715	0.011566551614675
Metacontam	1526658	0.0154616852686862
Metacontam	1792307	0.015783184530363
Metacontam	2202825	0.0198709116826927
Metacontam	223967	0.0265585576826823
Metacontam	408	0.0316350589628013
Metacontam	1842539	0.0398705579111953
Metacontam	426117	0.0534231292459605
Metacontam	29388	0.456722793486411
Metacontam	1747	0.477306099044717
Metacontam	2202828	0.490689982246965
Metacontam	747	1.14538423766052
Metacontam	651	1.83085200768986
Metacontam	29442	1.97687681427282
Metacontam	573	2.19740256652806
Metacontam	562	2.93242740194013
Metacontam	630	4.65090746054792
Squeegee	1747	0.477306099044717
Squeegee	2202828	0.490689982246965
Squeegee	96344	0.590054378825501
Squeegee	747	1.14538423766052
Squeegee	29442	1.97687681427282
Squeegee	573	2.19740256652806
Squeegee	562	2.93242740194013
Squeegee	1280	3.20044198648918
Squeegee	630	4.65090746054792
Squeegee	456327	7.72007528983269
