"v1"	"v2"	"asso"	"diss"	"adja"
"1"	"1747"	"33011"	0.850242904277061	0.273639448657297	0.726360551342703
"2"	"1747"	"33010"	0.732733782826146	0.365558625376186	0.634441374623814
"3"	"1747"	"2559073"	0.765550534135652	0.342380976300048	0.657619023699952
"4"	"1747"	"3016342"	0.609619980070824	0.441803134851472	0.558196865148528
"5"	"1747"	"1979527"	0.517688152734153	0.491076291051526	0.508923708948474
"6"	"1747"	"38286"	-0.693913500801936	0.920302531997477	0.0796974680025226
"7"	"1747"	"1232427"	-0.73907996542989	0.932491277554351	0.0675087224456493
"8"	"1747"	"38288"	-0.465308838766883	0.855952346444264	0.144047653555736
"9"	"1747"	"1852390"	-0.679800960250389	0.91646084484019	0.08353915515981
"10"	"1747"	"1414719"	-0.674754795649317	0.915083273710463	0.0849167262895369
"11"	"1747"	"43770"	-0.514356421029731	0.870159876410574	0.129840123589426
"12"	"1747"	"401472"	-0.598380332794292	0.893974365626412	0.106025634373588
"13"	"1747"	"53374"	-0.633797055848254	0.903824389980779	0.0961756100192213
"14"	"1747"	"38289"	-0.574625047598331	0.88730633030491	0.11269366969509
"15"	"1747"	"71254"	-0.566813422014457	0.885102655632231	0.114897344367769
"16"	"1747"	"38302"	-0.595020544627627	0.893034306347642	0.106965693652358
"17"	"1747"	"156976"	-0.668630560162331	0.913408605215194	0.0865913947848064
"18"	"1747"	"2763010"	-0.54724200794413	0.879557277254907	0.120442722745093
"19"	"1747"	"187491"	-0.545589977088673	0.879087588664711	0.120912411335289
"20"	"1747"	"1528099"	0.638702620707644	0.425027869258215	0.574972130741785
"21"	"1747"	"1273"	-0.612718550614354	0.897975097264494	0.102024902735506
"22"	"1747"	"1276"	-0.669349167227183	0.913605266848649	0.0863947331513508
"23"	"1747"	"544580"	0.464822433743645	0.517289844408507	0.482710155591493
"24"	"1747"	"1280"	-0.559125445003426	0.88292849229239	0.11707150770761
"25"	"1747"	"1290"	-0.754489176900192	0.936613361238295	0.0633866387617054
"26"	"1747"	"1260"	0.635690446927647	0.426795942502007	0.573204057497993
"27"	"1747"	"13690"	0.454661671109723	0.522177330458857	0.477822669541143
"28"	"1747"	"28449"	0.518437424561804	0.49069469909415	0.50930530090585
"29"	"1747"	"2892442"	0.529072421315793	0.485246112134969	0.514753887865031
"30"	"1747"	"729"	0.500470179312019	0.499764855050843	0.500235144949157
"31"	"1747"	"161896"	-0.456882581582878	0.853487721523537	0.146512278476463
"32"	"33011"	"33010"	0.879826706318834	0.245125777593021	0.754874222406979
"33"	"33011"	"2559073"	0.567559816673899	0.464994722188382	0.535005277811618
"34"	"33011"	"3016342"	0.535928656446853	0.481700811475934	0.518299188524066
"35"	"33011"	"1979527"	0.565733535207248	0.465975570600408	0.534024429399591
"36"	"33011"	"38286"	-0.594119688138282	0.892782080952088	0.107217919047912
"37"	"33011"	"1232427"	-0.593925722290145	0.892727764296077	0.107272235703923
"38"	"33011"	"1852390"	-0.575326625267948	0.887503978939798	0.112496021060202
"39"	"33011"	"1414719"	-0.571444420643513	0.886409730498124	0.113590269501876
"40"	"33011"	"401472"	-0.478954198657918	0.859928543152836	0.140071456847164
"41"	"33011"	"53374"	-0.474178841680827	0.858539120157267	0.141460879842733
"42"	"33011"	"38289"	-0.469247346745622	0.857101903727212	0.142898096272788
