"v1"	"v2"	"asso"	"diss"	"adja"
"1"	"418240"	"649756"	0.4939899487781	0.502996049299545	0.497003950700455
"2"	"418240"	"333367"	0.508829589454556	0.495565540844722	0.504434459155278
"3"	"418240"	"168384"	0.489968967372451	0.504990610124361	0.495009389875639
"4"	"418240"	"154046"	0.481752128213828	0.509042174964988	0.490957825035012
"5"	"418240"	"54914"	0.486186957116788	0.50685946912493	0.49314053087507
"6"	"418240"	"1451"	0.508911889825022	0.495524020696766	0.504475979303234
"7"	"418240"	"1742359"	0.466109785248925	0.516667308212488	0.483332691787512
"8"	"418240"	"2756"	0.507743829556334	0.496112976268343	0.503887023731657
"9"	"418240"	"46125"	0.474681046906986	0.512503147840583	0.487496852159417
"10"	"418240"	"119981"	0.525252460972801	0.48721019028095	0.51278980971905
"11"	"418240"	"328692"	0.51954243223605	0.490131394507611	0.509868605492389
"12"	"418240"	"2755405"	0.474389965675276	0.512645118149351	0.487354881850649
"13"	"418240"	"2785531"	0.493075068953171	0.503450559164864	0.496549440835136
"14"	"418240"	"47678"	0.471264594621625	0.514166998833246	0.485833001166754
"15"	"418240"	"357276"	0.598850729530677	0.447855596408777	0.552144403591223
"16"	"418240"	"2691580"	-0.607468271353016	0.896512206094545	0.103487793905455
"17"	"418240"	"2913621"	-0.492630835179986	0.863895489969703	0.136104510030297
"18"	"418240"	"2937774"	-0.499107276966141	0.865767658487582	0.134232341512418
"19"	"418240"	"712471"	-0.554529209129846	0.881626113817486	0.118373886182514
"20"	"418240"	"2913616"	-0.568157360439473	0.885482173857688	0.114517826142312
"21"	"418240"	"2913620"	-0.469712687791065	0.857237623938388	0.142762376061612
"22"	"418240"	"839"	-0.526212620612606	0.873559563113073	0.126440436886927
"23"	"418240"	"2913614"	-0.558629164011136	0.882787959821365	0.117212040178635
"24"	"418240"	"52227"	-0.51793300656659	0.871186836036504	0.128813163963496
"25"	"418240"	"28129"	-0.513573916988785	0.869935031191636	0.130064968808364
"26"	"418240"	"28133"	-0.532124026828648	0.875249686326321	0.124750313673679
"27"	"418240"	"1177574"	-0.463897961892636	0.855540169101556	0.144459830898444
"28"	"418240"	"28135"	-0.502534925845307	0.866756864941175	0.133243135058825
"29"	"418240"	"282402"	-0.592491003280985	0.892325894301232	0.107674105698768
"30"	"418240"	"2801997"	-0.464442332702411	0.855699226569246	0.144300773430754
"31"	"418240"	"76123"	-0.51296297226269	0.869759441530441	0.130240558469559
"32"	"418240"	"2133944"	-0.480433603378451	0.860358530898152	0.139641469101848
"33"	"418240"	"2606626"	-0.454138529888121	0.852683566713972	0.147316433286028
"34"	"418240"	"3003260"	0.500812488645146	0.499593590508752	0.500406409491248
"35"	"418240"	"945844"	0.47993038276315	0.509936082875516	0.490063917124484
