"v1"	"v2"	"asso"	"diss"	"adja"
"1"	"418240"	"168384"	0.456334511396098	0.521375818677805	0.478624181322195
"2"	"418240"	"853"	0.492844558970165	0.50356501120999	0.49643498879001
"3"	"418240"	"1796620"	0.520370217548225	0.489708986262135	0.510291013737865
"4"	"418240"	"2583452"	-0.453387116058063	0.852463229722568	0.147536770277432
"5"	"418240"	"971"	-0.452838360422908	0.852302282181301	0.147697717818699
"6"	"418240"	"189426"	0.64186659363533	0.423162738414354	0.576837261585646
"7"	"418240"	"2913621"	-0.55987283617954	0.883140089730825	0.116859910269175
"8"	"418240"	"2937774"	-0.45702459472228	0.853529318395766	0.146470681604234
"9"	"418240"	"712471"	-0.559340974516988	0.882989517071689	0.117010482928311
"10"	"418240"	"839"	-0.482759024763447	0.861033978645282	0.138966021354718
"11"	"418240"	"52227"	-0.4536982701159	0.852554476299286	0.147445523700714
"12"	"418240"	"589436"	-0.478251779557093	0.859724310333578	0.140275689666422
"13"	"418240"	"76123"	-0.486065622477442	0.861993509974826	0.138006490025174
"14"	"418240"	"1411316"	-0.562333865160966	0.88383648520554	0.11616351479446
"15"	"418240"	"582"	-0.482226125922537	0.860879238314683	0.139120761685317
"16"	"2479767"	"2994078"	0.509197277769588	0.495380016871095	0.504619983128905
"17"	"2877527"	"1796616"	0.540004502582067	0.479580805192375	0.520419194807625
"18"	"2877527"	"33035"	0.749504762972926	0.353903402800167	0.646096597199833
"19"	"2877527"	"1912897"	0.796706131758184	0.318821163226201	0.681178836773799
"20"	"2877527"	"1322"	0.748120255095874	0.354880081791107	0.645119918208893
"21"	"2877527"	"649756"	0.479545514976001	0.510124732307697	0.489875267692303
"22"	"2877527"	"105841"	0.714649626755588	0.377723690840548	0.622276309159452
"23"	"2877527"	"1229621"	0.664180138629797	0.409768142594201	0.590231857405799
"24"	"2877527"	"33038"	0.739873753430403	0.360642653169032	0.639357346830968
"25"	"2877527"	"29347"	0.677890704235993	0.401316144556886	0.598683855443114
"26"	"2877527"	"89153"	0.685320977723565	0.396660448164696	0.603339551835304
"27"	"2877527"	"1871021"	0.688039047507649	0.394943636796664	0.605056363203336
"28"	"2877527"	"66219"	0.495523161610334	0.502233430980887	0.497766569019113
"29"	"2877527"	"208479"	0.731069086583852	0.366695318633977	0.633304681366023
"30"	"2877527"	"333367"	0.632430189941045	0.428701417106915	0.571298582893085
"31"	"2877527"	"1531"	0.711082221968283	0.380077477648779	0.619922522351221
"32"	"2877527"	"831"	0.455614179125638	0.521721104074946	0.478278895925054
"33"	"2877527"	"29375"	0.696171925996632	0.389761512981572	0.610238487018428
"34"	"2877527"	"29370"	0.754521870771895	0.350341354416022	0.649658645583978
"35"	"2877527"	"2696063"	0.653529919465778	0.416215136999018	0.583784863000982
"36"	"2877527"	"1727145"	0.541659971900935	0.478717050092779	0.521282949907221
"37"	"2877527"	"433286"	0.53455667701705	0.482412335550694	0.517587664449306
"38"	"2877527"	"3039116"	0.676108177360636	0.402425038137144	0.597574961862856
"39"	"2877527"	"2490855"	0.633147776243578	0.428282747584129	0.571717252415871
"40"	"2877527"	"2763667"	0.532425528169964	0.483515497078447	0.516484502921553
"41"	"2877527"	"2929495"	-0.480544692615513	0.860390810218099	0.139609189781901
"42"	"2877527"	"438033"	0.560606871641778	0.468718000698833	0.531281999301167
"43"	"2877527"	"238834"	0.529876979035433	0.484831424808957	0.515168575191043
"44"	"2877527"	"384636"	0.601238989096726	0.446520442367018	0.553479557632982
"45"	"2877527"	"2841037"	0.777342053509703	0.333659966500551	0.666340033499449
"46"	"2877527"	"1736"	0.575289820472304	0.460820018840163	0.539179981159837
"47"	"2877527"	"2086584"	0.494781944810735	0.502602255859076	0.497397744140924
"48"	"2877527"	"1776384"	0.486570738072916	0.506670140193343	0.493329859806657
"49"	"2877527"	"1547"	0.706360106102813	0.3831709108852	0.6168290891148
"50"	"2877527"	"521520"	-0.54214726306374	0.878107983981395	0.121892016018605
"51"	"2877527"	"1352"	0.557656639063375	0.470288932963888	0.529711067036112
"52"	"2877527"	"28111"	0.510375854210127	0.49478487537003	0.50521512462997
"53"	"2877527"	"820"	0.545721615439613	0.476591221362914	0.523408778637086
"54"	"2877527"	"2528203"	0.479159510706648	0.51031386875792	0.48968613124208
"55"	"2877527"	"823"	0.464879494380692	0.517262266949421	0.482737733050579
"56"	"2877527"	"2937774"	-0.501678848808683	0.866509910159337	0.133490089840663
"57"	"2877527"	"28131"	-0.532058771262834	0.875231046999258	0.124768953000742
"58"	"2877527"	"28132"	-0.549335399631859	0.880152089025487	0.119847910974513
"59"	"2877527"	"839"	-0.49756641656017	0.865322603587867	0.134677396412133
"60"	"2877527"	"77095"	-0.565559147792958	0.884748311044717	0.115251688955283
"61"	"2877527"	"52227"	-0.524133976157931	0.872964482713338	0.127035517286662
"62"	"2877527"	"589436"	-0.459292408320486	0.854193306084895	0.145806693915105
"63"	"2877527"	"28129"	-0.534995523470235	0.876069495950588	0.123930504049412
"64"	"2877527"	"1177574"	-0.547897599980784	0.879743599005069	0.120256400994931
"65"	"2877527"	"28125"	-0.461570643040382	0.854859825655757	0.145140174344243
"66"	"2877527"	"28128"	-0.51657659590393	0.870797506859066	0.129202493140934
"67"	"2877527"	"470565"	-0.477235661079606	0.859428781540276	0.140571218459724
"68"	"2877527"	"165179"	-0.620207104741301	0.900057527256259	0.0999424727437415
"69"	"2877527"	"28127"	-0.463315873101757	0.855370058250158	0.144629941749842
"70"	"2877527"	"2364787"	-0.723503041060623	0.928305725787745	0.0716942742122554
"71"	"2877527"	"2606626"	-0.583695568001174	0.88985829433713	0.11014170566287
"72"	"40520"	"39488"	0.670541086611593	0.405868767823053	0.594131232176947
"73"	"40520"	"410072"	0.541958026016304	0.478561372231241	0.521438627768759
"74"	"40520"	"116085"	0.733528885357246	0.36501446179758	0.63498553820242
"75"	"40520"	"751585"	0.725476588929102	0.370488468829259	0.629511531170741
"76"	"40520"	"88431"	0.581646112317944	0.457358659960679	0.542641340039321
"77"	"40520"	"2763667"	0.457871085189768	0.520638509337444	0.479361490662556
"78"	"40520"	"2709410"	0.57110539753564	0.463084550845934	0.536915449154066
"79"	"40520"	"2929491"	0.503120875015484	0.498437119898045	0.501562880101955
"80"	"40520"	"2929493"	0.597475191897038	0.448622785925415	0.551377214074585
"81"	"40520"	"2929495"	0.554828118458395	0.471790144842813	0.528209855157187
"82"	"40520"	"2929490"	0.462731505784272	0.518299379806559	0.481700620193441
"83"	"40520"	"853"	0.481396610973306	0.509216746104591	0.490783253895409
"84"	"40520"	"1160721"	0.536962280210958	0.481164067542996	0.518835932457004
"85"	"40520"	"1161942"	0.655561117126511	0.414993302881799	0.585006697118201
"86"	"40520"	"438033"	0.473263544406821	0.513194142402843	0.486805857597157
"87"	"40520"	"2714355"	0.549133591574439	0.474798066774477	0.525201933225523
"88"	"40520"	"2714353"	0.629187184429924	0.430588443626902	0.569411556373098
"89"	"40520"	"1550024"	0.458851282715779	0.520167625522879	0.479832374477121
"90"	"40520"	"169435"	0.473048076808606	0.513299095650574	0.486700904349426
"91"	"40520"	"2093857"	0.597980853505289	0.448340911859888	0.551659088140112
"92"	"40520"	"2108523"	0.501478973993032	0.499259965352204	0.500740034647796
"93"	"40520"	"2714358"	0.638328012964019	0.425248155219973	0.574751844780027
"94"	"40520"	"214851"	0.60970445908844	0.441755328723695	0.558244671276305
"95"	"40520"	"2763056"	0.611989828703678	0.440460084057751	0.559539915942249
"96"	"40520"	"2766537"	0.672417359289001	0.404711403787316	0.595288596212684
"97"	"40520"	"2994078"	0.603331465611944	0.445347355660756	0.554652644339244
"98"	"40520"	"2666138"	0.639830102119053	0.424364170189324	0.575635829810676
"99"	"40520"	"1796620"	0.54870770345032	0.475022260820312	0.524977739179688
"100"	"40520"	"2780922"	0.578289600124815	0.459189721071359	0.540810278928641
"101"	"40520"	"2576756"	0.590709434611733	0.452377367575052	0.547622632424948
"102"	"40520"	"253239"	0.644037605027538	0.421878178490226	0.578121821509774
"103"	"40520"	"1042156"	0.584952039627928	0.455547999870525	0.544452000129475
"104"	"40520"	"1496"	0.52338352468083	0.488168247287331	0.511831752712669
"105"	"40520"	"2841528"	0.522804732046621	0.488464567780192	0.511535432219808
"106"	"40520"	"2041044"	0.481776013811347	0.509030444172376	0.490969555827624
"107"	"40520"	"1297617"	0.639778421823803	0.424394614819861	0.575605385180139
"108"	"40520"	"1982626"	0.463134499862358	0.518104960475019	0.481895039524981
"109"	"40520"	"39483"	0.463682227690375	0.517840599175859	0.482159400824141
"110"	"40520"	"1305"	-0.458753491117574	0.854035564574911	0.145964435425089
"111"	"40520"	"46124"	-0.451311479994357	0.851854295051201	0.148145704948799
"112"	"40520"	"1660"	-0.460226553982763	0.85446666230543	0.14553333769457
"113"	"40520"	"1852377"	-0.488678589824737	0.862751004005425	0.137248995994575
"114"	"40520"	"1335613"	0.473780361684078	0.512942315624244	0.487057684375756
"115"	"40520"	"674529"	-0.472136047109463	0.857944067847509	0.142055932152491
"116"	"40520"	"2715212"	-0.460459310856933	0.854534759637352	0.145465240362648
"117"	"40520"	"28119"	-0.54993077753592	0.880321185004632	0.119678814995368
"118"	"40520"	"151276"	-0.489988934419993	0.863130620016459	0.136869379983541
"119"	"40520"	"387090"	-0.59552117062797	0.893174442824012	0.106825557175988
"120"	"40520"	"2913621"	-0.478040974719706	0.859663008021081	0.140336991978919
"121"	"40520"	"2937774"	-0.484487140799638	0.861535588585764	0.138464411414236
"122"	"40520"	"28132"	-0.456626867850196	0.853412815655529	0.146587184344471
"123"	"40520"	"839"	-0.531358715877768	0.875031061128052	0.124968938871948
"124"	"40520"	"77095"	-0.469900669003532	0.857292443977996	0.142707556022004
"125"	"40520"	"52227"	-0.474961356224359	0.85876695215418	0.14123304784582
"126"	"40520"	"28129"	-0.488428173138908	0.86267843752435	0.13732156247565
"127"	"40520"	"1177574"	-0.472764870097906	0.858127283710845	0.141872716289155
"128"	"40520"	"28125"	-0.464236155982546	0.855638988120149	0.144361011879851
"129"	"40520"	"2801997"	-0.453876199987829	0.852606650216801	0.147393349783199
