	SRR23389262_bracken_species	SRR23389263_bracken_species	SRR23389264_bracken_species	SRR23389265_bracken_species	SRR23389266_bracken_species	SRR23389267_bracken_species	SRR23389268_bracken_species	SRR23389269_bracken_species	SRR23389270_bracken_species	SRR23389272_bracken_species	SRR23389273_bracken_species	SRR23389274_bracken_species	SRR23389275_bracken_species	SRR23389276_bracken_species	SRR23389277_bracken_species	SRR23389278_bracken_species	SRR23389279_bracken_species	SRR23389280_bracken_species	SRR23389281_bracken_species	SRR23389283_bracken_species	SRR23389284_bracken_species	SRR23389285_bracken_species	SRR23389291_bracken_species	SRR23389292_bracken_species	SRR23389293_bracken_species	SRR23389294_bracken_species	SRR23389295_bracken_species	SRR23389297_bracken_species	SRR23389298_bracken_species	SRR23389299_bracken_species
418240	47925	46315	10921	49538	17244	22802	21643	18641	57280	12737	20089	19718	29713	72065	28692	35312	54786	71722	25374	29528	29713	42861	14410	10597	19830	6666	32707	33686	40546	23698
2479767	4243	5447	852	15446	2769	17530	517	3095	11961	592	8949	1929	6901	6542	2602	4255	15656	1497	10348	12021	830	1699	3163	1868	12636	7737	4839	5098	7237	2831
2877527	240	265	88	267	237	239	27	61	776	602	222	789	292	222	473	482	1150	380	268	215	727	506	553	262	327	390	634	617	418	256
40520	4163	7942	4029	17652	3343	3846	663	6924	14969	1587	9226	4034	8650	15696	21187	12114	7448	3573	12013	5820	2822	5738	2686	3715	6314	2085	5784	3145	7438	11864
1796616	387	442	184	392	389	297	36	129	799	137	405	504	413	395	402	617	509	657	384	668	298	597	506	657	433	282	437	578	352	277
33035	362	498	160	507	537	394	22	157	731	459	297	1159	397	438	589	559	780	626	424	437	322	733	839	535	1035	218	704	611	368	308
1912897	309	422	182	321	269	321	34	111	811	1019	311	1656	418	327	1748	572	817	648	372	614	246	1239	1370	343	728	498	942	698	424	207
1322	303	654	170	411	540	354	16	97	650	980	324	2465	317	336	3072	593	790	3438	374	1288	1814	2031	1137	465	1243	290	828	3807	457	266
2779518	224	263	64	90	144	169	10	50	263	64	175	211	206	227	201	451	98	133	153	170	71	214	155	182	254	89	422	202	180	143
39485	27936	12316	18144	152	8505	29389	16	656	2354	124	22237	8523	3766	1910	3540	1317	3624	7865	3767	2209	6028	9122	10531	9871	3646	2225	6035	6000	11742	10054
2763672	27495	15718	2111	6995	1457	14220	40	992	8047	319	7984	3067	12656	2371	4155	12189	4290	14029	4199	1088	2293	1762	3843	3620	4405	889	1125	1791	4632	18720
166486	13252	4599	23161	4551	4638	4463	184	1931	22117	1220	7088	9394	11791	3616	7936	6569	10714	3653	4544	8811	5894	24687	4572	4559	69945	20103	6117	6703	4095	4586
301301	1840	2668	1063	1109	1679	3905	219	734	4278	464	4206	2470	3540	1782	2953	3264	1335	3656	2710	2083	1278	3118	1600	6667	2051	2026	3525	2718	4011	2415
