	SRR23389262_bracken_species	SRR23389263_bracken_species	SRR23389264_bracken_species	SRR23389265_bracken_species	SRR23389266_bracken_species	SRR23389267_bracken_species	SRR23389268_bracken_species	SRR23389269_bracken_species	SRR23389270_bracken_species	SRR23389272_bracken_species	SRR23389273_bracken_species	SRR23389274_bracken_species	SRR23389275_bracken_species	SRR23389276_bracken_species	SRR23389277_bracken_species	SRR23389278_bracken_species	SRR23389279_bracken_species	SRR23389280_bracken_species	SRR23389281_bracken_species	SRR23389283_bracken_species	SRR23389284_bracken_species	SRR23389285_bracken_species	SRR23389291_bracken_species	SRR23389292_bracken_species	SRR23389293_bracken_species	SRR23389294_bracken_species	SRR23389295_bracken_species	SRR23389297_bracken_species	SRR23389298_bracken_species	SRR23389299_bracken_species
2763062	1454	1039	1211	545	853	1069	43	446	4386	362	1559	1407	1854	682	886	1378	1037	785	4191	1485	841	3031	3950	1437	3828	1968	1879	1313	642	892
39488	11771	5795	4159	8482	5968	6723	147	4065	12635	436	6704	2144	7178	10984	9040	7920	2216	8463	6279	5188	2749	7132	940	3773	7518	945	5311	3628	9170	4506
410072	8101	6268	2044	4300	7497	830	468	3704	4681	1206	5659	1395	3945	8132	22629	3068	2031	12042	6498	6675	772	9116	1213	1982	4322	4214	1506	1325	2470	5726
116085	1097	2209	1621	4238	802	950	122	1003	6755	599	2944	1036	2480	4304	2543	3600	784	1423	2854	1077	1043	3215	751	1912	1387	1185	944	1937	2804	1776
33043	684	493	128	225	208	343	61	83	684	137	502	865	849	1350	1486	944	429	216	1105	417	144	528	295	359	434	129	299	472	46968	626
751585	270	453	172	658	203	248	10	141	696	59	398	887	1922	7641	6950	741	168	134	1701	306	217	278	143	340	179	181	296	407	3217	2500
649756	8415	17360	5637	39725	1751	28197	138	3232	28332	3320	4164	29885	3292	35221	23636	5842	37933	8975	4573	6580	5743	18712	2085	1493	3286	20640	13459	3738	12618	1467
105841	77	108	36	104	75	109	6	31	162	80	95	165	102	70	85	123	100	95	136	146	99	148	240	154	97	66	163	182	135	72
1229621	55	80	28	58	51	78	2	32	154	64	85	138	78	58	111	115	96	71	100	130	55	134	105	79	122	48	92	107	72	53
33038	5642	1940	1867	2651	2054	3806	291	1385	4744	36425	2119	19901	2074	2665	8988	3544	13163	6033	1660	3793	2547	4073	25990	4874	5091	7549	10601	15588	1832	1369
33039	1105	18004	10880	2210	646	1237	169	4440	18917	58119	1425	7562	3716	19891	12184	1485	971	1066	8756	10367	16188	33561	857	15031	1789	6754	2098	19869	4934	8189
46228	618	972	287	696	466	4520	50	3112	20562	963	1131	712	6080	9239	972	5786	484	17817	4555	8815	509	10598	694	630	651	446	909	774	10266	7575
88431	2383	11596	8269	12200	1324	1599	434	7373	20680	1973	14680	11993	12530	10474	13068	10346	1619	2148	9283	11671	11774	9158	7735	8685	6993	1203	2647	3865	7799	6009
39486	1698	3614	3245	3376	592	3319	109	1184	4015	733	2819	1152	3856	2971	3359	2305	685	3292	4734	2522	452	4226	3078	3384	2656	4573	1084	1334	2402	1631
29347	1017	954	691	1128	1998	708	98	267	2475	1633	1087	1421	740	804	1253	1051	2635	1119	589	1123	583	1381	2008	1134	1081	709	8825	1362	890	683
89153	226	276	77	270	140	173	12	37	273	268	146	237	138	214	250	192	152	224	205	182	149	267	323	132	183	95	584	202	260	95
1871021	224	179	71	167	127	156	30	67	350	135	255	437	253	221	452	360	230	251	201	183	116	293	239	159	274	207	311	272	288	137
66219	58	52	16	42	48	41	4	26	142	31	87	64	146	44	62	79	56	25	100	64	37	98	104	53	45	62	101	68	87	57
208479	776	473	315	1082	1654	642	91	322	603	878	373	4166	338	695	1017	1186	3585	1330	472	1284	1548	1115	3401	935	885	478	2707	1091	1089	286
333367	395	249	149	667	333	187	39	162	518	275	384	532	238	675	546	566	764	509	261	477	648	1073	505	285	476	147	464	359	861	232
1531	233	412	165	319	221	320	43	116	416	459	293	582	243	233	418	299	462	262	236	330	203	459	312	375	653	247	551	540	512	178
45851	499	761	144	237	500	385	4	151	884	107	684	753	716	294	298	685	279	392	893	475	250	652	371	322	759	470	410	683	446	411
831	159	235	42	99	89	166	19	44	380	51	202	363	200	78	142	296	180	53	258	183	80	190	138	156	121	89	173	223	164	137
43305	113	190	62	62	69	102	2	37	299	25	161	418	196	85	95	247	132	67	179	148	52	196	73	157	98	75	110	184	99	129
185008	105	212	50	60	69	78	14	38	308	28	184	375	188	49	78	316	123	62	194	163	78	201	87	154	88	98	134	251	103	117
2763670	518	578	153	186	277	5548	18	747	675	144	520	730	9809	4263	2195	19940	423	409	1917	443	140	667	715	303	578	540	355	658	15329	3561
84030	258	402	193	311	108	356	51	61	448	110	321	178	264	142	221	261	281	228	311	210	213	271	192	554	513	92	641	394	201	608
29375	131	117	47	61	93	118	16	62	202	120	146	213	133	69	105	192	139	100	159	144	103	207	137	102	156	87	167	151	103	84
29370	123	105	38	75	84	119	10	52	155	125	100	160	132	71	135	183	135	113	115	134	90	186	140	116	162	107	161	103	99	86
168384	320	370	103	287	247	260	78	108	566	134	303	381	318	423	435	407	205	364	320	282	132	385	211	225	660	176	454	265	481	284
1653434	308	177	311	179	2103	626	24	179	328	361	188	1196	214	234	1233	310	281	175	223	260	157	316	331	160	258	115	576	269	237	193
2696063	80	91	32	53	49	56	10	26	121	75	100	81	114	54	94	115	90	72	136	88	47	126	97	65	100	50	136	102	80	58
1727145	73	59	25	49	37	54	3	24	129	48	88	90	130	41	79	83	54	46	126	85	44	131	86	61	88	36	94	78	77	65
433286	75	98	37	41	61	52	2	29	118	51	94	135	96	42	53	117	67	34	98	83	41	124	106	59	106	36	105	98	78	56
3039116	62	94	31	62	48	77	5	11	148	43	87	136	108	44	95	157	69	46	107	86	57	129	84	70	83	55	114	128	91	68
2068655	288	401	62	140	139	168	16	42	403	61	217	267	240	227	220	418	96	154	183	156	79	218	114	214	213	114	453	223	283	227
185007	199	510	135	70	166	199	3	95	624	56	387	1062	500	127	107	947	338	102	251	371	136	372	180	409	165	157	181	459	176	260
2490855	105	118	37	76	82	81	12	43	248	87	148	161	136	71	140	208	145	102	146	127	55	235	111	92	177	80	118	156	100	122
617123	70	111	35	51	43	35	3	33	145	23	105	115	128	40	65	141	78	23	104	82	49	137	57	84	66	32	68	126	62	42
2763667	158	295	127	308	264	180	9	113	620	76	252	550	298	275	438	387	423	502	228	222	87	435	299	252	318	163	451	382	408	283
2763669	80	173	46	198	67	152	16	30	187	82	97	99	165	121	193	153	81	122	173	102	77	196	105	100	224	99	178	199	237	182
2709410	80	91	26	52	31	57	4	27	125	16	86	63	131	101	102	89	38	54	102	61	51	80	49	50	53	49	95	65	170	86
1679721	39	29	3	27	38	42	5	14	81	19	59	59	75	29	36	73	23	27	75	40	26	63	27	32	52	34	62	45	54	28
2929492	10100	1761	1801	3138	17439	430	305	704	2232	29	4139	106	1482	2227	1294	4281	598	674	11542	531	9546	453	130	468	138	129	10352	2318	1192	13689
2929494	8427	1648	2070	2904	4700	493	351	786	2114	27	4852	71	1390	1518	1094	5469	253	495	7252	667	8427	389	135	667	326	98	9566	2549	930	13431
2929488	4504	772	1369	1597	1728	417	185	308	860	99	5859	298	1022	1148	709	4568	272	264	2956	355	4339	395	144	378	148	73	4449	1238	545	5925
2929489	2190	1020	579	855	914	636	181	218	1519	78	5553	148	1402	1905	4683	1568	419	719	1450	3336	6278	330	92	752	108	103	1642	1440	1126	1431
2929491	1082	1072	2683	1909	1169	1220	200	700	1963	22	2268	56	2272	1209	2089	3017	290	208	4034	287	4535	255	73	522	63	62	2227	569	805	1903
2929493	935	6102	704	819	702	394	148	269	1092	38	1257	75	1699	6991	1084	1530	385	435	5659	439	980	416	133	339	124	87	1374	457	1048	7293
2929495	1066	1062	9137	7059	2752	4367	627	1692	3466	39	4331	56	5985	1779	5400	4533	367	422	5915	437	1350	217	105	388	120	61	3180	611	1215	4229
2929490	631	686	680	623	446	306	107	127	1147	6	2564	35	826	983	2908	1097	294	267	1058	2041	3870	184	65	649	202	38	766	1019	818	1133
853	19247	22740	41798	32852	29335	22808	10787	12212	46093	593	52538	919	21220	23430	68380	38002	39702	49368	33971	30719	44133	3252	1109	7124	2032	1095	37439	13210	56070	36359
411483	1088	1145	536	587	729	314	145	156	1836	97	5258	209	1516	2542	5067	1792	233	247	1722	4216	7240	313	237	895	1668	90	1078	1569	957	1020
1160721	16973	93	97	250	72	118	3	383	4058	24	18645	250	3402	3283	173	529	155	40	5034	190	74	100	37	68	61	40	235	146	368	1914
2564099	909	40	42	519	82	110	45	52	324	6	54	161	177	47	58	887	289	39	99	285	20	66	34	31	730	26	207	159	475	1714
1161942	474	53	99	77	84	105	4	74	180	9	574	20	239	302	319	423	75	68	410	25	37	99	55	41	54	8	39	37	458	575
438033	92	203	35	182	108	114	6	37	307	59	176	180	183	113	180	184	123	129	135	106	61	196	105	95	211	92	190	131	178	101
2714355	909	913	134	3181	89	513	26	343	2593	26	3283	47	2052	4140	1789	5745	81	5753	1493	160	496	4859	130	837	487	446	273	313	9387	2509
2714353	529	322	279	721	49	182	11	77	1191	10	1747	93	921	2161	422	2780	147	321	1235	140	301	354	217	250	339	60	134	69	7000	1121
292800	918	557	730	2464	3824	625	94	330	889	502	1276	1009	938	1986	1500	2144	1647	1855	635	6230	4046	6587	2330	679	1846	2917	3350	1656	2554	1202
1550024	763	391	356	1979	318	211	33	71	547	62	828	244	585	845	979	2419	393	1405	336	1127	124	1384	496	884	577	205	362	230	2936	342
169435	568	156	146	1669	137	231	42	97	862	97	360	131	282	604	457	601	822	414	325	925	160	1112	192	241	583	192	1036	638	793	464
2093857	357	462	1071	4282	292	433	20	168	2417	118	1274	866	1264	4294	934	2680	660	1085	853	2208	892	2945	523	1260	784	224	818	392	4768	1273
2108523	318	592	64	1364	206	234	8	70	1024	65	623	73	1162	1137	1827	1675	661	1561	352	1787	549	3061	795	306	1914	29	354	243	1191	373
2714358	265	390	234	764	113	165	22	102	529	72	609	95	533	1368	1038	857	270	281	364	1217	351	1389	293	291	353	95	231	194	1642	479
214851	215	1811	1159	1667	71	135	17	436	1297	52	1305	78	1754	4489	235	990	347	539	726	95	104	1285	268	156	240	242	2059	109	3085	681
2763056	154	216	137	368	83	79	14	64	759	13	587	29	507	690	219	976	631	218	349	146	326	231	61	94	171	94	201	121	1957	311
2766537	60	15	17	38	23	31	2	16	77	8	61	22	48	66	33	61	22	31	48	23	13	53	14	23	34	5	37	18	89	54
2994078	56	28	12	47	19	22	3	14	39	7	33	19	45	36	29	48	47	20	46	31	10	47	22	21	24	12	27	41	85	37
2666138	37	25	14	29	11	19	2	24	73	3	62	16	45	57	30	66	8	24	47	26	19	43	17	11	36	11	34	22	108	38
1981510	126	50	44	60	21	167	3	65	637	6	426	90	259	115	141	128	51	140	134	60	40	66	30	329	68	210	100	264	603	74
1796620	93	52	14	81	16	30	12	18	96	8	125	31	75	148	149	92	32	104	56	42	33	68	53	40	38	16	56	54	313	71
2780922	73	63	72	111	38	44	3	28	125	13	149	83	121	138	92	182	89	73	108	44	26	296	24	61	92	56	73	100	239	63
2488810	27	7	5	16	9	15	2	4	33	7	7	10	21	22	13	34	26	6	22	19	10	19	19	32	21	6	34	21	51	25
1521	10	3	7	18	5	3	4	3	54	24	14	25	19	4	14	14	8	3	22	14	8	14	13	7	10	3	12	23	23	10
2507162	43	32	5	33	10	12	3	11	47	7	41	13	44	59	20	36	11	40	30	8	20	22	11	16	30	13	28	29	102	24
2576756	42	27	7	31	9	21	2	15	68	10	49	22	31	52	26	56	26	20	41	25	17	42	15	12	14	20	18	20	112	34
253239	24	22	18	41	42	21	2	21	52	4	66	17	64	95	29	88	17	27	62	42	29	35	12	28	37	5	21	14	201	40
411486	929	665	354	1137	555	615	185	235	813	279	600	530	523	1494	1095	2263	773	710	656	857	789	1324	1154	565	1493	739	1047	1021	991	695
1042156	115	163	62	90	90	123	6	50	312	23	156	182	196	171	295	330	178	150	195	143	58	166	89	149	140	109	190	117	157	108
97138	37	19	12	19	17	14	4	15	43	14	19	44	23	45	52	48	25	18	31	40	20	64	50	28	40	15	51	30	86	23
2507159	12	6	3	5	3	11	3	17	15	10	12	13	20	6	11	10	2	3	18	8	5	13	19	11	6	9	11	11	28	9
1502	120	116	256	78	51	1429	14	87	171	95	114	103	332	408	155	298	285	42	824	214	153	120	700	132	125	389	102	168	254	72
1491	56	38	29	57	51	77	15	93	86	68	57	70	75	41	52	95	71	30	110	104	26	59	130	65	52	161	80	111	124	40
238834	20	31	8	13	17	33	4	11	48	29	22	28	24	18	19	20	35	6	32	15	11	37	46	22	19	23	25	35	38	19
1501	16	27	6	14	18	15	3	29	58	24	17	24	38	18	22	28	18	3	40	28	13	46	34	31	35	31	26	33	27	25
704125	14	10	14	3	6	26	2	20	27	6	24	15	16	7	8	17	9	5	24	19	8	22	36	7	6	44	19	28	35	15
154046	523	572	282	1609	383	686	77	337	570	358	430	493	372	367	921	616	680	1150	558	509	668	975	772	501	879	292	650	425	519	375
384636	150	137	53	72	67	129	28	37	271	122	120	157	156	65	122	167	143	98	135	131	68	187	115	137	161	99	162	136	101	74
3036945	20	13	5	23	15	11	2	5	27	9	18	6	21	74	10	25	10	11	17	19	7	15	21	13	10	12	16	13	79	18
2576307	10	4	6	5	4	2	2	3	21	27	11	28	15	9	11	14	4	3	8	26	6	10	10	19	4	2	9	11	15	9
1496	1463	1939	771	1359	717	788	149	398	1909	594	1905	1362	1259	1711	3331	1555	1643	1117	1052	1768	579	1246	1295	2633	1712	774	1818	1143	2226	1598
89152	18	13	9	15	15	25	3	9	47	48	30	40	29	12	21	25	31	1252	19	32	17	4389	43	41	32	14	15	5617	30	20
1505	5	6	5	4	6	12	2	10	17	27	6	8	24	18	15	7	10	4	39	8	6	35	30	19	37	55	15	16	48	10
39496	461	1489	529	464	3700	229	16	137	1440	185	422	502	583	1409	649	598	324	969	610	940	296	4720	1262	275	791	253	640	5304	1982	395
2841037	140	146	43	135	98	115	7	36	207	150	123	195	159	97	217	158	189	145	158	168	82	196	233	152	139	92	251	177	144	86
2841528	120	205	56	117	84	506	6	90	300	37	216	248	786	462	328	1402	109	109	421	163	57	188	112	168	143	129	178	204	1121	328
2764325	257	89	92	159	105	67	22	53	556	111	154	379	318	643	515	392	253	98	188	1098	250	659	495	800	545	125	309	263	291	447
1736	69	58	22	43	12	15	3	13	111	61	69	250	49	76	52	156	80	78	44	29	63	83	44	50	22	222	48	29	571	47
2041044	36	18	18	80	27	21	2	13	124	7	74	31	85	52	80	72	38	56	24	47	28	78	31	85	19	24	122	48	74	40
1297617	246	207	66	869	92	160	14	93	421	21	836	53	484	924	300	834	167	229	455	171	327	462	144	194	196	64	296	101	2657	511
2086584	242	171	64	333	153	137	9	73	297	168	223	154	202	205	227	208	137	274	143	163	103	245	196	136	183	78	186	187	287	127
2610895	232	177	54	366	272	138	14	63	234	62	377	56	345	466	2382	335	287	1218	214	300	322	1023	268	191	193	70	414	537	727	352
1776384	66	33	24	132	14	28	2	12	52	27	59	61	41	72	69	76	249	86	29	38	26	222	75	197	28	16	39	32	95	30
114527	22	30	43	22	15	6	45	18	64	122	44	46	55	12	26	31	37	22	33	26	125	32	68	27	42	179	8	15	117	83
626937	96	106	17	31	27	79	5	16	81	26	95	167	61	103	66	527	24	47	44	40	15	112	32	60	82	44	161	38	221	68
1185412	21	15	22	12	8	14	3	6	30	8	18	25	34	12	17	21	6	13	25	25	8	37	35	24	11	22	23	24	17	13
2478954	10438	29	23	49	29	10298	5	13	50	25	5727	39	9231	106	91	26	22	27	10155	23	14	144	8707	43	13	33	60	59	48	1899
100886	6931	64	65	54	25	5926	15	23	129	13	3061	45	4950	85	74	65	71	57	5411	30	10	55	5336	34	43	13	107	58	83	10174
1522	473	230	197	594	259	284	29	297	561	171	369	565	309	647	731	377	416	796	270	1039	555	430	1080	421	399	2051	395	361	963	316
1547	396	77	57	205	81	240	23	62	312	423	161	1213	181	195	336	249	836	272	114	172	339	174	189	110	352	237	96	100	201	76
29348	16	15	4	8	23	13	2	3	97	28	7	20	77	133	70	11	12	26	44	30	5	93	25	33	9	10	22	36	59	23
2583452	157	61	41	75	52	239	3	27	73	133	128	140	246	116	166	114	168	67	90	270	67	143	201	216	111	627	109	794	127	191
1796635	113	178	94	156	63	453	16	59	273	115	124	129	243	134	186	76	53	66	121	119	152	199	55	477	197	63	287	167	175	164
1982626	98	5126	1301	1397	1472	91	12	302	2200	30	346	40	277	1887	2782	371	68	1000	460	1538	48	3155	94	792	80	81	2286	1729	1986	121
39483	91	197	53	681	111	178	25	48	210	42	162	96	870	578	227	205	142	163	229	128	102	204	221	723	193	137	112	104	489	539
2944914	28	3	4	17	14	10	4	2	19	49	34	12	41	62	36	6	22	7	24	33	6	41	42	36	8	9	26	15	25	11
2487118	11	23	7	12	23	37	15	30	36	10	21	24	65	28	35	36	15	13	31	13	9	49	20	24	14	32	24	13	24	29
437897	3980	24	5997	6232	15	13	2	15	14357	114988	6	23	848	11	8	12605	9	4100	21	22269	1604	13	19	4582	14714	15	15	35912	14	19
971	19	3	5	9	9	34	2	5	22	3	30	10	81	18	11	20	5	10	60	113	9	13	14	10	39	710	16	34	30	418
69823	9	28	8	45	3	30	5	7	26	5	24	16	94	44	14	20	7	16	73	121	20	23	8	15	38	771	13	39	71	476
626940	1782	826	5	15	13	25	2	12	2016	34	5251	3	5370	2663	15	34	4198	21	3476	12	5241	2489	6344	6782	6687	11	47	7142	46	1197
33025	14	73	1219	3154	3038	24	613	8843	44	701	24	1880	25	40	4457	4497	25	7803	22	1549	18	125	19	9	40	366	6767	10	17308	101
187327	12	20	61	9	7	20	154	2376	18	10	8	7241	63	26	49	44	15	234	17	36	31	10	44	54	49	52	5	310	25	370
2144175	20	11	11	15	15	29	6	7	302	7	24	13	53	40	21	30	12	15	22	84	18	16	14	13	10	34	21	17	49	40
907	14	13	17	13	17	38	3	4	17	9	15	20	1362	16	20	21	15	17	36	9665	3228	12	486	13	18	101	13	876	32	1947
423477	14	6	255	14	36	249	209	52	18	327	20	107	256	4	51	7	68	5	47	17	465	9	698	4	50	12536	52	6	121	90
1742359	99	89	100	95	99	95	91	89	101	104	92	111	109	103	109	109	107	86	108	88	101	107	95	112	88	91	99	102	104	110
3050112	4	6	3	5	5	6	3	20	13	5	3	13	13	8	2	7	2	5	13	4	2	3	6	7	5	12	5	3	3	4
1451	100	109	94	98	109	114	59	74	115	91	120	95	120	131	103	123	76	106	108	119	87	120	93	121	116	98	99	103	135	122
521520	13	10	20	10	15	27	22	28	13	2	8	12	17	11	9	11	6	11	29	5	8	10	7	14	6	3	11	7	16	12
189426	8	17	4	10	7	7	4	16	8	6	9	5	4	35	13	5	8	13	7	9	11	13	5	2	9	5	9	5	8	7
54914	145	126	129	132	116	143	123	127	133	119	137	122	145	141	141	158	127	131	134	122	140	134	130	121	153	140	137	133	145	144
1393	13	6	9	3	6	5	4	5	13	7	8	9	15	8	4	7	3	3	19	12	4	11	9	7	6	9	17	12	11	8
2756	98	88	99	91	89	91	86	96	98	95	94	115	104	86	93	110	96	99	100	96	92	98	92	92	85	75	75	94	101	93
1639	14	19	11	13	11	10	8	10	19	3	8	8	13	9	11	12	3	7	9	3	3	12	6	7	5	7	38	10	9	12
1623	67	112	4719	34	26	1546	29	17	202	24	103	222	842	53	56	125	41	109	99	154	50	194	26	70	49	54	52	90	195	86
1304	239	1261	4920	385	3183	6293	5367	4056	1217	893	213	2817	6350	915	189	1092	4839	832	1474	1171	12245	1412	10584	18	3052	9991	841	145	4834	3009
1316408	11	68	157	12	227	886	383	223	131	111	19	424	478	48	3	15	179	50	40	48	787	71	815	30	156	681	63	3	322	87
2610896	8	97	191	12	228	977	549	306	146	102	23	521	628	71	8	34	252	69	48	48	873	99	968	46	132	904	75	9	395	78
1759399	5	11	19	2	24	72	129	144	33	51	7	63	68	6	37	4	43	6	24	29	73	13	70	48	12	269	14	12	33	123
1307	76	47	32	34	35	127	9	63	130	37	167	116	75	86	45	51	33	30	85	28	35	54	71	50	46	63	476	315	603	97
1308	42	41	97	24	46	222	87	110	1601	22	20	80	109	5539	29	33	154	26	43	35	189	38	230	20	57	192	22	25	379	47
1305	22	42	26	9	38	32	156	86	21	237	8	85	275	28	6	18	11	8	33	13	35	29	129	12	84	102	19	20	58	56
1328	9	19	92	13	37	15	15	19	47	66	7	42	46	28	31	40	27	11	14	28	33	22	84	11	22	166	14	16	27	30
1303	20	22	42	13	47	67	146	140	52	222	4	124	72	18	20	16	69	16	62	30	54	31	99	59	63	168	26	26	39	58
1311	60	30	6	19	15	152	7	15	64	97	139	13	79	83	148	51	16	15	48	31	25	112	46	19	28	39	62	10	306	26
684066	10	11	26	7	45	124	67	49	15	17	5	69	66	16	9	8	40	16	14	12	117	12	124	13	13	99	14	3	52	12
1156431	14	32	18	19	43	117	433	325	30	176	2	375	107	23	56	10	29	5	14	59	113	60	150	8	15	290	46	13	34	170
150055	11	11	21	3	6	309	9	14	23	6	11	10	14	38	2	2	183	9	24	2	24	17	48	4	12	29	12	9	48	18
1335	9	6	3	13	13	464	2	11	20	4	7	3	17	13	3	17	63	11	33	5	11	6	23	5	7	2	12	13	38	10
1313	8	20	38	6	45	33	46	22	17	196	9	174	17	13	9	14	27	6	33	23	12	33	56	5	18	75	24	18	17	19
1302	4	13	17	5	55	50	36	151	29	54	13	65	109	21	18	11	36	6	10	13	42	30	92	22	34	457	12	8	154	14
1318	2	88	183	22	325	2864	418	311	216	118	8	817	575	52	15	26	232	71	107	82	967	105	1742	99	175	928	70	19	836	96
1352	156	124	104	416	70	114	21	22	443	546	477	228	181	280	481	421	250	164	306	271	158	425	361	202	83	75	243	181	553	176
44008	29	16	14	18	41	42	3	3	18	11	13	60	22	29	30	7	19	15	27	38	5	55	17	40	20	20	48	45	11	20
46125	24	20	20	24	22	22	22	17	31	29	23	20	22	20	22	25	23	17	23	25	24	27	22	25	27	25	22	22	26	20
46124	2	11	6	2	42	19	124	69	31	77	4	125	66	10	6	8	30	5	16	33	12	14	33	55	18	101	32	22	14	17
1260	16	14	23	11	17	12	3	3	13	68	14	9	15	11	5	16	20	11	22	9	8	44	30	39	12	10	19	35	18	12
1680	2209	20	3245	9	2956	7	244	2025	231	5417	56	68180	21187	349	58	58	3	6733	578	35918	14	17	3	13	99	19	51	1924	6929	40
216816	143	29	5056	76	1104	48	38886	1694	6863	1112	98	15866	3846	101152	510	3075	286	113	31	26319	74	3754	169	61	306	4002	666	6587	7498	2164
1685	80	56	80	61	97	25	516	42	123	65	28	740	96	668	38	56	65	100	26	219	25	74	27	62	140	64	45	173	122	38
1686	64	7	317	4	1061	4	643	54	574	238	119	20313	143	1351	15	47	5	125	17	175	11	37	3	5	24	4	36	136	86	18
28026	46	20	3195	6	938	16	12498	261	8870	4604	1061	17849	204	14924	6	5	2	513	15	249	6	7	2	3	262	8	216	2071	188	10
2036	21	22	18	19	15	21	20	18	19	18	23	20	15	22	22	25	16	20	23	24	22	25	19	22	18	22	22	27	32	20
43675	32	30	77	15	94	234	559	264	125	532	16	208	99	44	50	15	164	11	96	82	141	10	194	43	59	631	534	11	51	126
1660	34	163	247	219	169	321	536	137	85	911	166	572	438	108	156	106	281	154	168	425	261	150	546	303	415	1224	208	102	175	208
52773	2	6	12	6	7	10	28	3	2	28	8	14	11	3	11	4	10	6	9	17	6	2	27	16	9	58	7	4	5	5
1852377	6	12	10	12	11	12	22	5	12	68	4	14	18	5	16	4	21	18	12	29	31	16	39	7	32	62	6	9	16	13
119981	18	17	17	20	17	15	16	17	22	15	17	19	18	22	19	17	16	17	20	22	16	20	16	18	17	20	17	22	19	23
74426	2561	14765	9836	7486	14638	12025	14754	12097	6733	3880	11305	15203	12666	43288	35344	10042	2790	12769	11598	11774	16984	10043	5034	3993	20874	4327	11999	22820	6562	8312
147206	8	27	18	15	138	49	143	14	23	335	31	897	210	124	51	24	60	20	32	1261	22	16	26	7	20	12	70	299	33	20
1871022	9	53	4	12	20	17	53	44	34	14	41	193	73	105	62	54	4	65	86	44	24	34	18	11	18	10	11	39	38	41
604330	6	20	8	22	25	13	20	32	24	7	55	45	76	84	42	32	6	41	65	21	30	13	8	6	21	28	17	58	64	31
712157	3	9	2	3	14	4	8	3	9	6	10	25	9	20	4	15	6	7	6	20	11	7	5	9	8	10	5	7	21	7
1335613	59	49	42	82	25	30	6	40	42	13	71	16	120	47	383	382	79	39	36	379	40	338	16	36	32	3	173	77	140	18
471189	25	97	35	754	82	110	12	25	42	18	181	22	111	134	182	84	12	64	42	106	90	108	48	43	52	199	35	55	142	18
84112	59	641	46	588	116	251	99	597	104	46	949	2945	160	252	1366	744	1743	2138	106	2848	172	1821	209	1179	2084	3493	2641	430	355	226
502558	9	29	30	22	11	8	12	3	53	9	100	11	41	26	53	63	6	11	24	5	14	8	21	4	19	7	5	25	60	10
