"v1"	"v2"	"asso"	"diss"	"adja"
"1"	"478"	"480"	0.732725404871688	0.365564354887284	0.634435645112716
"2"	"478"	"476"	0.950168375878321	0.157847432861101	0.842152567138899
"3"	"478"	"386891"	0.889101901565832	0.235476217943732	0.764523782056268
"4"	"478"	"29433"	0.723833475959023	0.371595562433795	0.628404437566205
"5"	"478"	"2904119"	0.475637751874473	0.512036252684088	0.487963747315912
"6"	"480"	"476"	0.736776645910848	0.362783236995008	0.637216763004992
"7"	"480"	"386891"	0.725335613301406	0.370583584835185	0.629416415164815
"8"	"480"	"29433"	0.491555604579411	0.504204519724183	0.495795480275817
"9"	"480"	"2904119"	0.547142828943838	0.475845127670843	0.524154872329157
"10"	"476"	"386891"	0.873162194503088	0.251831099645092	0.748168900354908
"11"	"476"	"29433"	0.764904239350104	0.342852563538539	0.657147436461461
"12"	"476"	"2904119"	0.562845063455163	0.467522692788723	0.532477307211277
"13"	"386891"	"29433"	0.800005382531662	0.3162235107233	0.6837764892767
"14"	"386891"	"2904119"	0.637033128617276	0.426008727247884	0.573991272752116
"15"	"386891"	"2904120"	0.574598412351836	0.461194962921411	0.538805037078589
"16"	"386891"	"2953752"	0.500130845425345	0.499934573006636	0.500065426993364
"17"	"386891"	"2904121"	0.490255933650252	0.504848524980388	0.495151475019612
"18"	"386891"	"2904122"	0.574398261834561	0.461303445773733	0.538696554226267
"19"	"29433"	"2904119"	0.562140004483906	0.467899559476226	0.532100440523773
"20"	"29433"	"2904120"	0.590110260895252	0.452708371418482	0.547291628581518
"21"	"29433"	"2953752"	0.495339322280873	0.502324933543581	0.497675066456419
"22"	"29433"	"2904121"	0.564424898980335	0.466677137333545	0.533322862666455
"23"	"29433"	"2904122"	0.467079225617499	0.516198011611097	0.483801988388903
"24"	"34062"	"2904119"	0.493740789941813	0.503119871431345	0.496880128568655
"25"	"34062"	"2904120"	0.579434267425646	0.458566098056951	0.541433901943049
"26"	"34062"	"2953752"	0.584269453635552	0.45592244206907	0.54407755793093
"27"	"34062"	"2904121"	0.641192316566958	0.423560906737769	0.576439093262231
"28"	"34062"	"2904122"	0.497598020590288	0.501199550782776	0.498800449217224
"29"	"34062"	"34061"	0.592412284622068	0.451435330572349	0.548564669427651
"30"	"34062"	"40214"	0.500184039663462	0.499907971699061	0.500092028300939
"31"	"2904119"	"2904120"	0.815577618384171	0.303662955936206	0.696337044063794
"32"	"2904119"	"2953752"	0.732573542631508	0.365668194794469	0.634331805205531
"33"	"2904119"	"2904121"	0.791011545454691	0.323255668585493	0.676744331414507
"34"	"2904119"	"2904122"	0.811149276006336	0.307287100277301	0.692712899722699
"35"	"2904119"	"34061"	0.701386547858683	0.386402285281361	0.613597714718639
"36"	"2904120"	"2953752"	0.868433760291694	0.256482201827248	0.743517798172752
"37"	"2904120"	"2904121"	0.854376162081001	0.269836837662132	0.730163162337868
"38"	"2904120"	"2904122"	0.79587965649172	0.319468577099752	0.680531422900248
"39"	"2904120"	"34061"	0.822238828991878	0.298128471475069	0.701871528524931
"40"	"2904120"	"3043330"	0.458925013495676	0.52013218824849	0.47986781175151
"41"	"2904120"	"861445"	0.53685277941639	0.481220957868426	0.518779042131574
"42"	"2953752"	"2904121"	0.76190115873922	0.345035390402767	0.654964609597233
"43"	"2953752"	"2904122"	0.761042660062591	0.345656867382531	0.654343132617469
"44"	"2953752"	"34061"	0.800319390042821	0.31597516512946	0.68402483487054
"45"	"2953752"	"861445"	0.55953609292471	0.469288774144071	0.530711225855929
"46"	"2904121"	"2904122"	0.673889942983699	0.403800728711763	0.596199271288237
"47"	"2904121"	"34061"	0.795950710644582	0.319412968862739	0.680587031137261
"48"	"2904121"	"3043330"	0.461187371408926	0.519043653554821	0.480956346445179
"49"	"2904121"	"861445"	0.508660704491299	0.4956507316189	0.5043492683811
"50"	"2904122"	"34061"	0.724405106598101	0.371210784731464	0.628789215268536
"51"	"2904122"	"861445"	0.478742644390718	0.510518048461209	0.489481951538791
"52"	"34061"	"1028416"	0.458118774838816	0.520519560228616	0.479480439771384
"53"	"34061"	"861445"	0.529854539194296	0.48484299562111	0.51515700437889
"54"	"48296"	"470"	0.489237949610705	0.505352377252395	0.494647622747605
"55"	"48296"	"28090"	0.709345371021418	0.381218198003835	0.618781801996166
"56"	"48296"	"2708348"	0.467571831066197	0.515959382574735	0.484040617425265
"57"	"48296"	"40214"	0.567855622263425	0.464835657913942	0.535164342086058
"58"	"48296"	"108981"	0.450440309248024	0.52419447285906	0.47580552714094
"59"	"48296"	"80878"	0.554028555310163	0.472213640574813	0.527786359425187
"60"	"48296"	"1282"	0.485613422981012	0.507142276397358	0.492857723602642
"61"	"48296"	"1747"	0.475305489046571	0.512198453215855	0.487801546784145
"62"	"48296"	"1886"	0.503220724009069	0.498387036343709	0.501612963656291
"63"	"470"	"28090"	0.495411529835113	0.502288995581671	0.497711004418329
"64"	"470"	"40214"	0.48964686277979	0.505150045640011	0.494849954359989
"65"	"470"	"28901"	0.457488110139108	0.520822373684586	0.479177626315414
"66"	"470"	"562"	0.456517852116184	0.521287899285901	0.478712100714099
"67"	"28090"	"40214"	0.521065197507839	0.489354065320888	0.510645934679112
"68"	"28090"	"562"	0.508606966941607	0.495677835422562	0.504322164577438
"69"	"28090"	"80878"	0.523744165217476	0.487983521639063	0.512016478360937
"70"	"28090"	"1282"	0.654430282252444	0.415673981473195	0.584326018526805
"71"	"28090"	"38304"	0.461904549414711	0.518698106120163	0.481301893879837
"72"	"28090"	"1270"	0.48698313105803	0.506466617331276	0.493533382668724
"73"	"28090"	"1747"	0.710572805514054	0.380412404165497	0.619587595834503
"74"	"28090"	"1886"	0.667050293732483	0.408013300192235	0.591986699807765
"75"	"28090"	"2219696"	0.494836361543695	0.502575187636788	0.497424812363212
"76"	"28090"	"374432"	0.552937660564076	0.4727908308311	0.5272091691689
"77"	"2708348"	"80878"	0.456645998381245	0.521226439092816	0.478773560907184
"78"	"1028416"	"334543"	0.502528363138315	0.49873421622227	0.50126578377773
"79"	"3043330"	"861445"	0.521278929355697	0.48924486233598	0.51075513766402
"80"	"729"	"726"	0.579790955624049	0.458371598365317	0.541628401634683
"81"	"729"	"28449"	0.641530315401369	0.42336136136794	0.57663863863206
"82"	"729"	"490"	0.600908634342213	0.446705364674406	0.553294635325595
"83"	"729"	"47671"	0.537342044188266	0.480966711847989	0.519033288152011
"84"	"729"	"137732"	0.527554158840104	0.486027695280781	0.513972304719219
"85"	"729"	"28037"	0.704534837686434	0.384359962999248	0.615640037000752
"86"	"729"	"1303"	0.728924303542586	0.36815465259685	0.63184534740315
"87"	"729"	"712633"	0.563612362269059	0.467112212284661	0.532887787715339
"88"	"729"	"2598453"	0.633222521454366	0.428239114599329	0.571760885400671
"89"	"729"	"1304"	0.617730978754794	0.437189330408008	0.562810669591992
"90"	"729"	"1433513"	0.578973736393823	0.458817100600107	0.541182899399893
"91"	"729"	"257758"	0.559663067114912	0.469221127446904	0.530778872553096
"92"	"729"	"2819619"	0.559475603465731	0.46932099704481	0.53067900295519
"93"	"729"	"1305"	0.707922966404698	0.382149861700421	0.617850138299579
"94"	"729"	"46125"	0.506238132342277	0.496871144089553	0.503128855910447
"95"	"729"	"1379"	0.665300605272996	0.409083973486498	0.590916026513502
"96"	"729"	"423477"	0.49101328053485	0.504473348882352	0.495526651117648
