v1	v2	asso	diss	adja
1280	1288121	-0.664547087085059	0.912290273730094	0.0877097262699063
1280	1464	-0.327765927403334	0.814790134759661	0.185209865240339
1280	1622	-0.757499125263065	0.937416429678685	0.0625835703213152
1280	166486	-0.356412233858815	0.82353270544005	0.17646729455995
1280	1796613	-0.739977639025602	0.93273191191939	0.0672680880806099
1280	1796620	-0.657093040196397	0.910245307649646	0.089754692350354
1280	1796646	-0.818235846157577	0.953476755395111	0.046523244604889
1280	2014541	0.982435847323331	0.0937127330640538	0.906287266935946
1280	2014542	0.975200967365547	0.111353115435657	0.888646884564343
1280	2025876	-0.426296447781991	0.844481038206895	0.155518961793105
1280	208479	-0.478272487292159	0.859730331933264	0.140269668066736
1280	2108523	-0.545299540092655	0.879004988635632	0.120995011364368
1280	2133944	-0.568500234215683	0.885578972823904	0.114421027176096
1280	214856	-0.529803058306747	0.874586490378953	0.125413509621047
1280	2364787	-0.76754801405701	0.940092552373704	0.0599074476262961
1280	239935	-0.903943208586581	0.97569032192253	0.02430967807747
1280	2518971	-0.93211659168905	0.9828826460186	0.0171173539813999
1280	2528203	-0.509491945727862	0.868761171360651	0.131238828639349
1280	2530390	-0.847657386874062	0.961160076905523	0.038839923094477
1280	2530391	-0.667973532151321	0.91322875889651	0.0867712411034895
1280	2530392	-0.375914559389215	0.829431901782544	0.170568098217456
1280	2576606	-0.595887855486517	0.893277072214024	0.106722927785976
1280	2585118	-0.627813676150542	0.902167854711789	0.0978321452882114
1280	2606626	-0.343457834993125	0.819590701201864	0.180409298798136
1280	2610895	-0.398634465999669	0.836251895662924	0.163748104337076
1280	2650157	-0.767844325398371	0.940171347520858	0.0598286524791422
1280	2685834	-0.534992377804306	0.876068598285633	0.123931401714367
1280	2691580	-0.476068155072234	0.859089097553983	0.140910902446017
1280	2715212	-0.547198885061865	0.879545020184261	0.120454979815739
1280	2792859	-0.810497803253285	0.951445690319023	0.0485543096809767
1280	28111	-0.536951255127535	0.876627416616528	0.123372583383472
1280	28116	-0.92514456490439	0.981107681374575	0.0188923186254247
1280	28118	-0.63589900299931	0.90440560673829	0.0955943932617097
1280	28119	-0.48539446621373	0.861798835637914	0.138201164362086
1280	28131	-0.320222200262987	0.812472214990454	0.187527785009546
1280	28132	-0.396054923735889	0.835480377907192	0.164519622092808
1280	290053	-0.797674990521737	0.948070406278388	0.0519295937216115
1280	2913614	-0.600470194288246	0.89455860464484	0.10544139535516
1280	291644	-0.653700289925008	0.909313007144682	0.0906869928553182
1280	292800	-0.410200465331927	0.839702466749958	0.160297533250042
1280	29347	-0.859710450099401	0.964290010862759	0.0357099891372407
1280	301301	0.354417366892377	0.568147266607709	0.431852733392291
1280	32025	-0.874376718754633	0.96808489265008	0.0319151073499201
1280	328812	-0.791503601465122	0.946441652048641	0.0535583479513589
1280	328813	-0.583121121313056	0.889696892574391	0.110303107425609
