	ERR4701918_bracken_species	ERR4701920_bracken_species	ERR4701948_bracken_species	ERR4701949_bracken_species	ERR4701951_bracken_species	ERR4701952_bracken_species	ERR4701954_bracken_species	ERR4701955_bracken_species	ERR4701957_bracken_species	ERR4701958_bracken_species	ERR4701960_bracken_species	ERR4701961_bracken_species	ERR4701963_bracken_species	ERR4701964_bracken_species	ERR4701966_bracken_species	ERR4701967_bracken_species	ERR4701969_bracken_species	ERR4701970_bracken_species	ERR4701972_bracken_species	ERR4701973_bracken_species	ERR4701975_bracken_species	ERR4701977_bracken_species	ERR4701979_bracken_species	ERR4701980_bracken_species	ERR4701981_bracken_species	ERR4701983_bracken_species	ERR4701985_bracken_species	ERR4701986_bracken_species	ERR4701987_bracken_species	ERR4701989_bracken_species	ERR4701991_bracken_species	ERR4701992_bracken_species	ERR4701993_bracken_species	ERR4701995_bracken_species	ERR4701997_bracken_species	ERR4701999_bracken_species	ERR4702001_bracken_species	ERR4702002_bracken_species	ERR4702003_bracken_species	ERR4702005_bracken_species	ERR4702006_bracken_species	ERR4702008_bracken_species	ERR4702009_bracken_species	ERR4702010_bracken_species	ERR4702011_bracken_species	ERR4702013_bracken_species	ERR4702015_bracken_species	ERR4702017_bracken_species	ERR4702018_bracken_species	ERR4702020_bracken_species	ERR4702021_bracken_species	ERR4702022_bracken_species	ERR4702023_bracken_species	ERR4702025_bracken_species	ERR8529713_bracken_species	ERR8529717_bracken_species	ERR8529721_bracken_species	ERR8529725_bracken_species	ERR8529729_bracken_species	ERR8529733_bracken_species	ERR8529737_bracken_species	ERR8529741_bracken_species	ERR8529745_bracken_species	ERR8529749_bracken_species	ERR8529753_bracken_species	ERR8529757_bracken_species	ERR8529761_bracken_species	ERR8529765_bracken_species	ERR8529769_bracken_species	ERR8529773_bracken_species	ERR8529777_bracken_species	ERR8529781_bracken_species
38290	12	5	2290	3189	2157	638	3395	131	49	20	15	18	226	5	791	1081	1020	700	358	466	25	12	45	45	2	2	24	0	155	183	186	122	22	35	7	15	14	3	0	0	31	114	15	43	41	27	0	0	9	19	7	0	34	42	2	0	0	0	0	0	18	10	6	5992	67	89	6	11	5	0	0	0
43765	18	45	2534	2085	2016	560	2305	111	382	79	146	84	192	76	1543	1632	2488	1402	986	1086	47	25	124	68	0	9	30	0	129	45	64	52	57	7	643	408	273	178	34	0	0	209	86	0	58	5	14	0	6	41	27	2	137	81	7	0	0	0	0	0	0	0	0	6592	74	55	64	111	75	0	0	0
71254	10	33	35848	357241	31823	13723	216653	997	43	22	19	53	133	21	1259	1475	1886	1167	708	1057	82	27	67	54	5	5	16	0	110	59	96	66	35	10	12	2	16	0	4	0	9	101	10	0	28	2	0	0	8	14	10	0	97	43	7	0	2	0	0	0	20	11	2	70303	503	282	13	24	8	2	0	0
258224	10	19	15023	13759	11627	3534	9549	1277	315	55	176	52	154	80	584	681	746	551	300	441	399	306	1545	982	0	2	3	0	31	15	29	19	4	0	0	0	3	0	4	0	5	16	13	2	2	3	8	0	4	6	8	0	456	835	0	0	0	0	0	0	452	472	149	32974	615	378	3	6	6	0	0	0
2768834	9	12	14530	13134	11850	3617	9375	1210	2	4	32	4	9	5	180	261	259	120	60	103	287	228	1082	659	2	8	3	0	35	29	77	30	2	12	12	4	12	2	4	0	24	9	22	0	0	0	2	0	10	2	5	0	317	560	0	0	0	0	0	0	37	13	3	29004	542	350	3	10	0	0	0	0
1717	9	14	5380	6087	5106	1623	5570	390	158	43	42	39	291	9	704	1264	1137	813	471	983	80	51	274	220	2	0	12	0	168	107	150	106	23	14	10	6	7	2	110	0	6	45	67	0	34	0	0	0	7	3	18	0	136	118	0	0	0	0	0	0	97	86	41	15342	226	280	10	14	8	3	0	3
203263	8	2	2785	2549	2165	762	1908	260	3	3	0	7	8	2	199	266	303	225	149	217	2	8	11	5	0	0	13	0	58	35	107	28	4	4	5	15	7	5	21	0	44	8	9	0	3	3	3	0	12	0	8	0	9	2	0	0	0	0	0	0	42	24	4	6505	103	81	0	2	2	0	0	0
227319	8	4	2432	2255	2014	613	1514	229	0	5	8	4	6	2	260	300	384	243	141	198	2	3	17	9	3	4	3	0	39	25	57	17	3	2	7	0	2	3	5	0	18	14	9	0	0	0	0	0	8	2	7	0	7	4	2	0	0	0	0	0	23	16	3	6615	113	81	2	0	0	0	0	0
2883169	7	7	1775	1510	1328	440	1234	139	11	10	4	0	6	19	490	601	778	482	222	279	36	22	69	56	0	0	7	0	10	10	34	24	25	2	7	2	8	0	0	2	8	18	10	0	4	0	3	0	2	4	2	0	34	54	2	0	0	0	0	0	15	4	3	4514	62	62	4	4	2	0	0	3
99807	6	4	11499	10617	9044	2879	7527	995	5	0	2	3	6	8	103	189	193	174	70	125	105	76	349	280	0	2	7	0	64	27	89	43	5	4	5	11	3	2	11	0	18	11	8	0	0	0	0	0	12	0	3	0	86	259	0	0	0	0	0	0	33	19	8	24430	453	272	0	4	2	0	0	0
38302	5	11	2850	2109	2530	652	2466	157	31	5	16	38	30	3	1699	1874	2831	1663	746	1148	19	8	6	5	8	3	4	0	35	20	36	12	26	7	7	5	8	0	5	0	6	53	5	3	4	3	0	0	7	5	6	0	29	3	0	0	0	0	0	0	11	15	2	5215	56	63	2	4	0	0	0	0
156976	5	15	7638	5620	6576	1613	5804	401	45	4	15	35	36	15	5364	6015	8417	5220	2217	3292	26	13	12	6	2	2	5	0	31	23	75	24	12	2	10	9	13	5	0	0	23	110	10	5	11	0	3	0	5	20	5	0	39	5	0	0	0	0	0	0	19	11	3	14280	189	117	9	8	5	0	0	0
2488819	4	5	2675	3288	2360	709	2989	182	12	5	4	7	18	2	1068	1327	1588	979	579	762	32	14	24	26	0	7	10	0	39	24	40	28	12	6	17	6	4	4	3	0	11	24	18	0	6	0	3	0	10	11	0	0	40	17	0	0	0	0	0	0	11	10	4	11769	144	66	2	8	0	0	0	0
699041	3	6	5516	5157	4356	1314	3575	459	16	0	13	0	14	9	401	448	514	294	210	336	17	10	44	20	0	4	3	6	66	40	104	47	5	0	18	10	11	5	3	0	31	14	19	0	7	6	4	0	11	6	2	0	24	31	0	0	0	0	0	0	37	15	5	13458	241	160	3	2	0	0	0	0
43769	2	2	3095	2847	2565	749	2326	258	16	17	8	15	37	6	5217	8263	7644	5468	6330	8473	54	22	153	119	5	4	5	0	60	29	59	33	94	3	9	5	8	0	0	0	8	205	21	3	69	3	0	0	9	51	11	0	44	54	0	0	0	0	0	0	18	13	3	8266	128	111	3	5	2	0	0	0
2763010	2	19	21132	14550	18129	4096	19891	858	156	72	79	229	88	50	115466	136427	197272	121947	46353	75143	60	23	97	55	3	0	6	0	9	28	11	12	34	2	21	17	10	3	0	0	0	207	12	4	18	2	0	0	2	25	3	0	78	67	4	2	2	0	0	0	19	17	5	33237	291	361	8	27	7	0	0	0
575200	2	5	2479	2448	2221	659	2145	206	97	15	70	60	36	32	762	872	1292	715	363	426	31	4	18	10	0	0	5	0	10	12	22	10	12	0	2	2	6	6	4	0	3	13	4	0	17	0	0	0	0	5	3	0	9	5	3	2	0	0	0	0	4	4	0	6031	85	65	0	2	2	0	0	0
187491	2	12	8304	6722	7453	1817	8475	392	219	71	83	99	146	59	7191	7642	11156	6928	3378	4545	44	15	74	40	16	4	25	0	13	20	33	7	13	2	12	9	13	4	0	0	2	116	0	0	3	0	3	0	0	13	0	0	31	30	5	2	0	0	0	0	6	5	0	12849	152	147	4	10	9	0	0	0
1528099	197	204	1463	1363	1422	377	1841	80	143	53	76	93	140	60	3278	3336	4987	2979	1783	2375	1136	694	459	208	62	453	507	0	7559	4163	12347	4711	347	982	586	821	807	314	676	18	3115	399	1564	136	210	344	407	39	1502	131	467	7	624	353	0	0	0	0	0	4	4695	2539	592	1986	32	77	39	55	35	0	0	4
319706	3	18	996	903	729	364	619	124	545	188	186	233	305	127	100	131	192	121	78	117	15	7	16	5	7	10	104	0	54	32	23	24	28	13	6	3	36	12	52	0	7	5	14	45	38	5	12	0	7	0	16	0	11	8	168	114	49	57	104	132	84	81	37	2384	117	137	164	194	89	78	95	308
56689	2	0	677	650	491	148	425	55	64	18	53	21	44	22	46	42	57	46	37	25	2	0	0	2	0	2	12	0	4	2	6	2	2	2	2	2	7	16	0	0	2	0	4	0	0	4	0	0	0	0	0	0	2	2	24	9	14	8	4	8	5	13	3	1307	18	26	13	24	8	6	14	48
1778	5	5	202	219	213	71	146	20	121	36	50	34	66	35	26	86	62	49	58	41	19	14	43	50	18	13	18	0	25	9	22	17	2	2	3	0	23	5	8	0	10	5	11	0	0	0	3	0	11	0	0	0	8	45	11	9	2	2	10	5	16	11	4	676	12	17	9	24	7	3	10	25
1389713	6	5	117	116	97	49	95	15	99	21	56	33	109	20	42	83	97	49	70	64	10	0	3	0	5	8	11	0	7	2	10	6	0	0	10	3	20	9	47	4	3	0	0	20	5	0	30	0	0	0	0	0	5	4	5	7	7	0	9	8	5	5	4	521	8	7	9	16	10	3	7	33
1774	3	14	575	515	591	223	425	68	49	26	36	26	64	29	85	83	118	56	64	57	26	8	6	0	2	4	4	0	10	3	25	21	5	4	0	4	25	11	2	0	4	8	17	30	0	3	0	2	13	0	0	4	11	4	8	0	0	0	2	0	7	0	0	1320	27	12	0	3	0	0	0	7
322509	2	3	983	810	710	307	482	137	167	112	90	1206	152	218	198	223	437	144	177	130	0	0	3	0	4	25	0	0	37	24	103	46	10	9	77	36	57	25	0	0	4	39	0	4	20	0	7	5	4	0	6	0	5	0	19	2	5	0	0	0	13	13	0	1904	31	14	0	0	2	2	0	6
1828	15	33	672	596	551	174	414	49	535	170	277	183	393	132	815	1006	1171	640	792	692	6	2	229	222	26	21	71	26	65	22	37	33	34	3	78	33	3326	2388	206	0	7	4	3	30	42	3	13	3	0	6	6	3	15	2	35	12	2	0	0	0	7	6	0	1552	27	26	3	2	0	0	0	4
1270	257	224	54229	32120	24129	58132	30484	35093	43555	9187	21505	24416	23652	25042	5477	6756	9060	4685	3959	3692	171	64	65	39	3880	1300	9385	6	10	53	35	15	91	1596	161	18	58	16	18	0	560	1474	448	347	76	913	0	21	740	457	226	2	211	19	744	101	64	6	11	2	17	10	0	145331	1702	2291	150	388	244	132	51	516
1273	6	32	36693	35478	36975	92424	32335	38247	799	411	462	356	656	236	1940	2415	3005	1573	3209	3093	53	5	12	2	7	6	27	0	6	2	0	0	6	3	11	7	12	6	2	0	4	4	0	46	0	0	0	0	5	0	2	2	42	2	45	0	0	0	0	0	0	0	0	226598	3255	4623	22	99	47	2	0	8
43675	194	4781	377	333	290	149	231	38	1767	639	759	651	1358	456	260	449	437	268	290	368	292	260	290	110	134	17	76	3061	167	133	70	104	32	15	171	106	106	68	73	5	2	13	32	81	30	6	33	8	0	0	8	2	327	157	16	3	0	0	2	5	9	6	4	917	28	19	64	139	56	17	2	29
2047	80	667	27	37	36	28	44	3	50	34	6	22	70	11	159	258	333	180	90	112	136	72	73	22	3	0	13	5771	7	50	21	50	3	0	334	195	91	55	285	9	4	9	30	58	0	0	50	2	10	0	7	0	109	225	0	0	0	0	0	0	0	3	0	372	3	6	28	36	15	5	0	0
172042	19	190	9	47	9	22	40	0	17	19	9	0	10	16	211	236	273	183	60	122	41	23	11	7	0	0	5	285	2	15	28	31	8	8	125	53	37	15	39	2	0	2	9	71	6	0	12	0	0	2	8	3	36	41	0	0	0	0	0	0	5	10	0	122	0	0	2	8	2	3	0	8
71999	5	13	905	920	1178	2001	900	889	891267	210395	407322	263522	390112	211843	3446	3141	5122	2839	3032	2789	41	3	17	6	42	27	139	0	16	122	81	61	226	8	49	38	26	14	4	3	8	219	4	13	142	0	2	2	3	73	5	0	27	3	1141	90	79	0	0	0	0	4	0	4761	281	404	15	32	17	14	2	27
1630135	62	67	1329	758	1401	658	818	122	132	60	72	63	88	47	489	459	1033	387	384	533	297	87	37	16	0	3	2	0	10	4	4	4	15	4	20	10	32	2	0	0	0	196	4	2	9	0	0	0	4	54	0	0	324	27	4	0	2	0	0	0	2	2	0	1639	30	35	34	78	31	0	0	0
1667168	13	9	2379	625	3591	606	681	75	743	249	359	302	405	253	1493	1800	2719	1357	473	561	50	17	20	6	0	0	10	0	84	31	12	15	12	10	36	15	11	2	2	0	0	92	6	2	30	0	4	0	2	28	0	0	94	4	13	0	0	0	0	0	0	0	0	4651	66	32	7	17	11	2	0	0
1276	2	35	7414	4377	3732	12719	4406	6236	3902	1120	1915	1277	2135	2229	2308	2275	3597	2038	708	891	14	6	4	3	6	3	8	0	10	23	7	3	9	4	20	14	14	13	5	0	0	3	3	3	0	0	0	0	3	3	0	0	6	13	114	21	6	0	0	0	0	0	0	119122	1833	2505	9	16	11	7	0	14
712122	64	156	35	42	85	53	36	9	72	46	50	52	266	27	71	97	84	54	60	61	693	200	349	38	5	5	4	28	7	3	12	3	4	29	1034	394	171	123	30	0	5	124	34	29	9	0	28	4	7	27	40	2	101	15	7	4	0	0	2	0	12	4	2	88	0	0	5	4	5	8	0	17
706438	39	140	17	21	38	35	23	11	75	52	29	19	111	19	72	92	132	74	66	64	162	64	60	18	12	2	5	6795	3	15	27	5	38	6	565	230	112	67	626	4	0	19	32	29	28	7	76	2	0	4	12	0	96	50	5	0	0	0	0	0	6	6	3	29	4	4	9	20	7	0	0	8
712116	16	476	16	0	9	32	3	0	192	50	138	54	100	29	40	80	152	89	101	75	139	47	24	3	2	2	8	785	0	19	18	16	25	15	900	319	158	120	1786	0	0	36	113	90	26	7	183	3	0	10	44	2	60	57	2	0	0	0	0	0	0	4	0	34	0	0	3	6	10	0	0	13
2789425	8	128	5	0	38	49	9	9	149	32	35	41	53	21	37	40	84	27	27	15	71	17	16	7	0	4	3	192	8	0	0	13	6	5	659	198	123	91	237	0	0	13	34	19	4	0	42	3	0	10	13	3	63	41	0	0	0	0	0	0	5	5	6	103	0	0	7	7	0	5	0	13
544580	133	1097	29	33	132	160	48	32	243	60	118	107	193	68	274	287	303	257	195	173	573	261	206	42	8	10	15	1249	43	46	44	22	68	85	3167	1390	576	459	1494	8	15	111	111	227	45	13	196	4	0	15	38	3	489	297	4	5	2	0	0	0	29	24	17	343	13	15	38	70	39	22	4	37
1659	57	79	9	8	29	33	14	20	196	85	123	56	194	47	162	138	236	76	61	84	270	86	112	19	5	2	7	50	19	4	18	9	7	14	624	262	104	78	63	0	13	12	17	26	11	0	29	0	0	9	5	4	66	13	3	0	0	0	0	0	22	23	11	145	0	0	0	9	3	6	2	22
1655	39	131	234	221	236	86	147	23	71	137	64	62	225	16	376	296	664	267	135	131	177	59	49	8	13	0	13	443	19	9	22	8	56	6	1535	601	321	229	468	6	3	32	100	84	35	3	41	0	0	11	62	0	128	63	4	0	0	0	0	0	52	39	13	568	4	6	31	9	16	14	3	53
1656	15	44	8	6	20	20	11	0	23	9	35	11	22	3	68	86	86	53	41	38	71	20	14	8	0	2	2	164	12	2	22	8	5	0	229	89	45	41	265	0	0	2	18	13	0	0	27	0	10	0	4	5	36	18	0	0	0	0	0	0	15	7	0	80	0	0	0	3	0	4	0	7
1660	310	906	226	202	240	211	164	27	535	132	251	160	369	106	112	136	185	64	70	96	323	279	133	43	22	4	47	462	25	36	25	36	43	34	4102	1982	692	442	94	7	5	17	47	177	21	8	47	23	11	5	25	5	577	301	17	4	0	0	6	0	19	7	5	585	22	22	84	185	105	12	2	12
477641	4	59	260	259	245	135	182	43	475	192	231	191	461	176	555	501	713	426	652	832	13	2	12	5	12	6	0	0	18	17	7	5	2	0	19	27	46	22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	387	4	2	0	0	0	0	0	3	585	9	8	7	3	2	3	2	23
74426	2	10	11	33	0	21	24	10	8	12	16	8	12	6	149	145	262	123	198	126	91	3	5	0	8	33	71	8	4	2	4	2	66	0	208	39	69	8	9	26	0	2	0	15	33	0	0	0	0	0	0	0	11	3	0	0	0	0	0	4	237	161	6	95	9	34	19	22	62	17	18	10
1282	106	173	37202	83258	177285	151132	91502	35978	755089	301700	167006	124075	1191956	60687	3525	3051	6086	2342	2454	2078	223	99	90	63	96	119	327	0	686	1747	958	922	1227	28	39	44	49	16	90	3	27	234	89	190	2122	40	32	0	29	163	85	0	86	54	2125	229	132	0	0	2	5699	3060	952	6473	834	4254	6345	17508	3400	27	2	11
1280	27	48	12346	44119	82828	61772	45632	16874	56455	24432	17124	11249	180346	7595	11092	11749	18650	7145	3809	2926	93	27	30	11	29	24	30	0	217	298	347	266	108	0	5	20	30	14	0	0	4	32	17	9	106	4	5	15	2	21	20	8	13	7	1353	113	59	0	0	0	381	342	110	8000	1175	3741	212	351	71	0	0	0
1290	14	20	43299	179338	341144	240382	221984	73200	32863	12839	9301	24426	59848	3561	26946	15957	43849	13427	16107	14183	21	5	13	11	4	7	30	0	8	13	7	5	10	3	14	7	3	0	0	0	0	0	2	13	6	0	0	0	0	0	0	0	24	8	802	48	44	0	0	0	8	3	0	58446	15318	45738	74	80	12	0	2	10
29388	3	8	1343	3745	6008	2952	7947	555	213694	62561	46767	23229	183546	15358	386	393	663	289	98	121	125	99	79	58	45	41	160	0	4579	8664	3365	3656	83	68	10	12	3	0	109	2	2	30	77	12	88	56	92	17	4	26	79	0	97	9	2269	147	96	0	0	0	28	5	0	835	88	350	2	4	2	0	0	9
1260	4	12	4	12	7	37	5	8	196	29	63	30	115	16	224	225	417	123	124	135	40	17	14	10	0	0	0	0	173	88	35	27	48	0	16	72	23	7	0	0	0	17	5	12	49	0	4	0	0	0	2	0	38	5	2	2	2	2	0	0	35	33	42	2	0	6	0	6	3	0	0	0
853	9	10	90	108	65	38	81	23	59	21	35	19	35	20	102	93	74	76	68	82	38	12	22	6	14	15	34	0	25	16	37	21	66	12	20	27	24	14	14	7	10	0	0	0	34	0	0	0	5	0	0	0	6	0	3	11	3	0	0	0	41	21	0	327	13	56	56	87	148	42	47	29
1871086	22	12	3	2	7	116	7	0	182	104	63	287	149	48	725	2474	1155	811	181	167	2	3	8	2	10	11	3	12	9	2	10	0	10	4	13	2	68	198	7	2	67	0	0	9	4	0	0	0	35	0	0	0	16	0	28	0	2	0	0	0	0	2	0	64	0	0	0	3	3	10	0	16
293	19	10	4	8	11	153	7	6	645	215	253	2554	414	153	481	1256	683	408	274	162	8	0	15	5	12	11	16	0	0	12	10	15	13	0	8	19	60	55	7	0	275	0	0	16	10	0	0	4	215	9	2	3	3	18	41	4	0	0	0	0	0	2	0	25	0	0	2	3	0	2	0	6
2057741	16	0	39	12	54	15	18	9	75	15	31	75	71	33	82	116	85	61	79	58	14	6	7	0	7	5	5	0	0	0	0	4	0	2	6	0	7	12	3	0	4	0	5	7	37	15	6	0	21	0	0	0	3	12	11	9	7	5	6	6	6	4	0	54	0	9	24	25	9	16	12	34
1325120	3	3	11	7	27	13	11	9	60	16	31	24	34	22	66	81	87	61	61	58	6	0	4	0	0	4	8	0	3	5	2	2	5	7	21	11	2	7	5	0	0	0	2	0	0	2	0	0	7	0	0	0	5	16	11	10	0	3	13	11	3	3	4	30	3	3	5	21	5	0	11	29
185951	3	6	32	88	59	48	68	5	478	244	255	102	479	52	610	736	744	412	575	704	10	2	127	107	7	6	6	0	6	12	11	0	6	3	77	11	965	553	285	0	0	0	0	2	9	0	3	0	2	2	0	0	11	4	23	3	0	0	0	0	0	0	0	91	3	2	0	17	0	6	2	12
13690	10	7	51	68	49	625	58	3	362	87	186	167	150	85	336	641	345	235	232	264	0	0	6	0	9	6	19	0	44	49	97	34	0	10	50	30	73	36	261	0	15	0	16	30	7	5	247	0	0	0	6	0	14	8	31	0	0	0	0	0	23	11	0	169	4	10	8	16	13	0	0	12
147645	29	0	9	24	14	182	118	14	2291	767	1085	2377	1583	826	287	542	546	277	478	641	0	12	5	0	36	105	101	0	19	11	7	0	0	64	81	83	64	43	4	0	0	302	0	32	0	44	10	0	18	122	0	4	7	7	203	25	24	0	7	4	16	6	8	54	0	6	0	4	3	69	21	143
