	ERR4701918_bracken_species	ERR4701920_bracken_species	ERR4701948_bracken_species	ERR4701949_bracken_species	ERR4701951_bracken_species	ERR4701952_bracken_species	ERR4701954_bracken_species	ERR4701955_bracken_species	ERR4701957_bracken_species	ERR4701958_bracken_species	ERR4701960_bracken_species	ERR4701961_bracken_species	ERR4701963_bracken_species	ERR4701964_bracken_species	ERR4701966_bracken_species	ERR4701967_bracken_species	ERR4701969_bracken_species	ERR4701970_bracken_species	ERR4701972_bracken_species	ERR4701973_bracken_species	ERR4701975_bracken_species	ERR4701977_bracken_species	ERR4701979_bracken_species	ERR4701980_bracken_species	ERR4701981_bracken_species	ERR4701983_bracken_species	ERR4701985_bracken_species	ERR4701986_bracken_species	ERR4701987_bracken_species	ERR4701989_bracken_species	ERR4701991_bracken_species	ERR4701992_bracken_species	ERR4701993_bracken_species	ERR4701995_bracken_species	ERR4701997_bracken_species	ERR4701999_bracken_species	ERR4702001_bracken_species	ERR4702002_bracken_species	ERR4702003_bracken_species	ERR4702005_bracken_species	ERR4702006_bracken_species	ERR4702008_bracken_species	ERR4702009_bracken_species	ERR4702010_bracken_species	ERR4702011_bracken_species	ERR4702013_bracken_species	ERR4702015_bracken_species	ERR4702017_bracken_species	ERR4702018_bracken_species	ERR4702020_bracken_species	ERR4702021_bracken_species	ERR4702022_bracken_species	ERR4702023_bracken_species	ERR4702025_bracken_species	ERR8529713_bracken_species	ERR8529717_bracken_species	ERR8529721_bracken_species	ERR8529725_bracken_species	ERR8529729_bracken_species	ERR8529733_bracken_species	ERR8529737_bracken_species	ERR8529741_bracken_species	ERR8529745_bracken_species	ERR8529749_bracken_species	ERR8529753_bracken_species	ERR8529757_bracken_species	ERR8529761_bracken_species	ERR8529765_bracken_species	ERR8529769_bracken_species	ERR8529773_bracken_species	ERR8529777_bracken_species	ERR8529781_bracken_species
2763008	0	2	10	36	46	57	22	9	563	217	234	258	726	137	3719	5028	5932	3495	3383	3071	11	4	42	24	9	11	13	0	14	11	9	13	16	0	25	13	166	130	145	0	0	0	3	3	25	0	0	0	0	0	0	0	8	6	127	13	5	0	0	0	0	0	0	257	2	8	0	4	2	18	7	24
546871	0	7	88	76	130	64	128	121	225	68	164	413	211	81	547	640	953	499	508	515	5	0	18	13	2	5	0	0	21	16	26	8	2	0	3	34	53	28	3	0	12	0	3	2	5	0	0	3	0	47	3	0	15	10	30	0	0	0	0	0	13	2	2	316	7	12	3	0	0	3	0	14
161896	0	15	3910	3805	3130	1021	2704	326	9	6	10	8	80	14	792	1068	1250	830	362	510	24	10	23	18	4	3	2	0	42	34	64	30	17	5	3	2	3	0	0	0	15	26	9	0	24	0	0	0	9	2	2	0	42	17	0	0	0	0	0	0	22	9	3	13540	203	87	6	13	4	0	0	0
2709394	0	7	2694	2551	2163	678	1639	209	17	2	12	4	34	13	571	577	690	479	331	427	30	6	39	34	0	0	9	0	28	17	41	24	11	0	7	6	4	0	2	0	4	22	7	0	3	2	0	0	0	7	2	0	44	28	0	0	0	0	0	0	15	9	2	8178	138	78	2	4	5	0	0	0
441500	0	3	3867	3271	3363	958	3312	268	38	7	9	35	32	3	1804	1902	2788	1684	941	1443	6	5	7	3	0	0	0	0	14	15	35	13	18	7	3	5	5	4	0	2	12	39	12	0	17	0	2	0	4	9	2	0	14	9	0	0	0	0	0	0	4	4	0	7081	100	77	0	5	3	0	0	0
556288	0	3	129	131	138	544	121	63	9542	2301	4572	7639	5625	4365	1395	1760	2633	1515	813	842	3	0	5	0	4	30	4	0	2	9	9	5	33	7	17	7	11	2	0	0	0	10	0	29	22	5	0	3	2	6	0	0	2	0	509	121	34	0	0	0	0	0	0	6182	92	153	5	5	3	0	0	6
33889	0	3	500	443	483	338	318	74	389130	73681	226873	210588	184466	146789	547	527	795	397	218	207	10	0	2	0	8	24	26	0	28	24	3	2	7	3	18	27	25	19	46	0	0	2	11	4	14	0	31	0	3	7	8	0	0	2	5172	1271	446	0	0	0	0	0	2	1142	17	18	3	5	7	0	0	0
49319	0	2	36	36	34	28	28	11	180	39	57	118	125	55	107	113	203	111	108	137	0	5	5	3	0	5	10	0	8	12	14	13	8	2	12	11	8	9	8	0	8	0	8	5	6	0	0	0	2	0	0	0	2	4	6	0	0	0	2	0	4	5	0	140	6	2	3	2	0	0	0	11
105219	0	5	186	0	117	342	36	18	143	36	73	56	36	58	82	133	112	58	104	27	23	12	4	10	6	18	10	0	8	13	7	7	18	8	8	17	18	8	17	5	4	11	6	8	25	21	9	10	9	2	4	2	17	6	3	0	0	0	3	11	0	0	0	74	5	7	4	8	0	7	9	18
2984843	0	15	7	12	134	43	55	28	241	73	82	59	213	38	515	566	755	462	552	671	10	30	40	15	6	3	7	0	18	12	5	4	19	0	9	15	170	93	83	0	6	3	4	0	8	0	3	0	0	4	0	0	15	11	9	0	0	0	0	0	0	0	0	45	0	5	6	4	2	4	0	17
59779	0	9	30	9	7	175	12	9	6775	1898	3849	2403	4063	1832	1230	2103	1744	1335	780	760	6	0	4	0	15	20	20	0	8	19	19	9	16	0	121	42	15	14	6	0	0	6	0	11	5	0	3	0	0	0	0	0	6	0	76	8	7	0	0	0	0	3	0	66	2	5	4	6	7	13	3	87
88688	0	8	173	167	181	183	125	16	167	48	70	84	158	37	265	434	274	224	208	211	12	0	10	0	6	4	10	0	9	17	2	11	13	0	20	4	27	47	5	2	2	3	0	3	2	4	0	0	6	0	0	0	3	0	17	3	2	0	0	0	3	2	0	454	7	13	0	3	3	0	2	7
37637	0	0	2435	2568	2049	600	2483	184	11	10	8	5	7	5	1437	2184	2009	1576	466	726	17	2	23	8	2	6	0	0	64	23	80	33	43	7	0	2	6	2	0	0	31	28	13	0	43	3	3	0	12	3	2	0	10	6	0	0	0	0	0	0	14	5	2	8269	103	95	0	3	0	0	0	0
1795	0	0	556	569	444	143	353	63	120	62	67	91	122	67	223	293	308	232	151	151	7	6	18	6	5	2	15	0	28	12	32	15	0	0	21	3	79	45	0	0	10	2	3	0	7	0	2	0	10	2	2	0	3	3	14	0	0	0	2	2	10	6	3	1217	37	11	3	3	0	0	2	6
339	0	0	118	153	99	117	101	18	25935	10083	11974	10607	21364	6442	267	373	288	274	234	264	17	5	14	14	730	178	2011	0	33	10	24	6	27	4	0	6	103	93	938	830	70	3	0	123	17	0	391	2014	32	2	0	6	4	2	1432	115	73	111	165	210	6	5	0	381	4	7	0	2	0	0	0	5
