	ERR4701919_bracken_species	ERR4701950_bracken_species	ERR4701953_bracken_species	ERR4701956_bracken_species	ERR4701959_bracken_species	ERR4701962_bracken_species	ERR4701965_bracken_species	ERR4701968_bracken_species	ERR4701971_bracken_species	ERR4701974_bracken_species	ERR4701976_bracken_species	ERR4701978_bracken_species	ERR4701982_bracken_species	ERR4701984_bracken_species	ERR4701988_bracken_species	ERR4701990_bracken_species	ERR4701994_bracken_species	ERR4701996_bracken_species	ERR4701998_bracken_species	ERR4702000_bracken_species	ERR4702004_bracken_species	ERR4702007_bracken_species	ERR4702012_bracken_species	ERR4702014_bracken_species	ERR4702016_bracken_species	ERR4702019_bracken_species	ERR4702024_bracken_species	ERR8529715_bracken_species	ERR8529719_bracken_species	ERR8529723_bracken_species	ERR8529727_bracken_species	ERR8529731_bracken_species	ERR8529735_bracken_species	ERR8529739_bracken_species	ERR8529743_bracken_species	ERR8529747_bracken_species	ERR8529751_bracken_species	ERR8529755_bracken_species	ERR8529759_bracken_species	ERR8529763_bracken_species	ERR8529767_bracken_species	ERR8529771_bracken_species	ERR8529775_bracken_species	ERR8529779_bracken_species	ERR8529783_bracken_species
33034	0	11	14	4	0	0	0	107	86	87	5	7	0	0	10	30	33	0	0	29	0	0	8	0	0	0	23	0	0	0	0	0	0	20	5	38	0	0	0	0	0	0	0	0	0
29466	0	2	0	0	0	0	13	0	0	14	15	9	0	3	0	0	0	0	21	10	13	0	0	31	167	2	9	0	0	0	0	0	0	4	3	11	0	0	2	0	2	2	0	6	3
401472	0	633	371	161	5	0	2	771	636	1334	2	3	2	0	0	10	0	0	6	9	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	44	7	55	0	0	0	0	0	0
38289	0	701	375	239	0	0	0	330	296	276	9	3	0	3	22	23	0	0	8	21	0	0	0	5	0	0	22	7	0	0	0	0	0	0	0	0	172	8	365	6	3	2	0	0	0
1852390	0	540	331	163	0	2	5	1467	1385	2487	0	4	0	3	0	0	2	2	2	7	0	5	0	0	0	0	14	0	0	0	0	0	0	3	0	9	70	7	124	0	3	5	0	0	3
43770	0	350	242	95	14	0	0	133	60	132	17	6	0	3	3	13	4	0	7	2	0	3	2	7	7	0	19	4	0	0	0	0	0	2	2	2	38	4	90	0	0	3	0	3	3
2778078	0	79	21	14	0	0	2	18	43	59	3	6	0	0	0	2	3	0	6	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	7	0	101	0	3	4	0	0	0
1414719	0	207	173	53	0	0	4	982	750	1287	2	3	0	0	2	0	0	0	0	0	4	0	0	0	0	0	5	2	3	0	0	0	0	0	0	0	30	2	54	0	0	0	0	0	0
258224	0	196	127	78	0	3	0	31	40	54	6	27	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	20	4	62	34	5	113	0	0	0	0	0	0
1717	0	152	139	42	0	0	0	20	13	38	6	13	0	3	3	13	0	0	0	0	4	0	0	0	0	4	23	0	0	0	0	0	0	2	2	5	28	0	42	0	2	0	0	2	0
156976	0	102	43	21	0	0	0	167	145	235	5	0	0	0	0	2	0	0	3	2	4	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	14	2	40	0	0	2	0	0	0
187491	0	99	73	32	4	0	22	211	159	313	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	11	2	31	0	2	3	0	0	0
146827	0	97	57	33	2	0	0	56	98	77	0	2	0	0	5	3	0	8	3	6	0	0	0	21	0	0	14	0	0	0	0	0	0	11	5	5	26	0	57	0	3	0	34	82	62
38288	0	91	44	33	3	0	3	111	89	228	2	4	4	0	0	0	3	0	16	5	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	25	0	4	4	0	0	0
38290	0	65	25	16	2	0	3	47	36	52	0	7	0	0	6	17	0	0	0	0	0	4	0	3	0	4	12	0	0	0	0	0	0	0	0	2	7	0	23	0	0	0	0	0	0
39791	0	47	28	15	4	0	0	118	147	156	20	9	0	0	4	8	66	0	0	21	0	7	11	0	7	4	199	0	0	0	0	0	0	0	0	0	13	0	30	0	3	3	0	0	0
43768	0	40	9	25	0	0	11	5	3	30	17	8	0	4	0	2	0	0	38	47	3	4	0	4	13	0	9	0	0	0	0	0	0	9	5	6	4	0	7	0	2	0	0	3	0
61592	0	17	10	12	0	0	6	5	7	19	3	0	0	0	4	3	0	4	4	24	14	0	0	3	17	0	10	0	0	0	0	0	0	0	0	5	2	0	14	0	0	0	2	6	0
319706	0	8	4	5	10	12	5	2	0	17	0	0	2	10	3	12	0	0	0	0	0	0	0	2	0	0	0	11	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
1828	0	10	2	2	0	26	11	42	26	84	0	0	5	5	2	0	7	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	3
1270	0	4760	2527	1728	318	356	270	350	250	778	10	13	212	210	0	0	4	192	0	7	4	144	0	220	9	108	34	40	19	5	0	0	0	0	0	5	406	36	400	11	35	24	32	58	45
566027	0	377	135	189	40	20	16	56	10	75	0	0	29	16	0	0	0	25	0	0	0	0	0	40	0	15	9	0	0	0	0	0	0	0	0	0	38	0	9	0	0	0	0	13	0
2856555	0	89	41	27	6	9	11	22	35	76	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	17	0	18	0	0	0	2	2	2
71999	0	187	58	82	4626	5235	3531	175	181	450	0	0	0	8	0	20	29	0	6	4	0	2	0	0	0	2	3	27	33	22	0	0	0	0	0	0	46	10	58	0	0	0	2	12	7
72000	0	7	5	4	7	38	15	76	91	108	4	0	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	4	0	0	0	0	0	3	0	3	0	0	4	0	0	0	0	6	4
1276	0	1840	843	749	35	58	23	94	61	89	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	290	28	259	2	0	0	2	7	6
2759167	0	14	9	9	45	40	45	38	64	60	0	5	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	17	2	7	0	0	0	0	0	0
43669	0	39	2	9	33	22	50	48	35	96	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	14	3	6	0	0	0	0	0	0	10	0	18	0	0	0	0	2	2
556288	0	22	3	7	58	68	48	63	48	155	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	4	0	0	0	0	0	0	13	0	16	0	0	0	0	2	5
2017484	0	8	4	6	16	21	6	12	25	48	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	5	2	0	0	0	0	0	0	0	15	2	4	0	0	0	0	2	0
1331682	0	8	0	5	49	59	35	56	52	124	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	11	0	3	0	0	0	0	0	0	20	2	10	0	2	0	0	2	0
